Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;401050;0688;GL0231194W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;424,23;EUR;25/08/2026;0688K2608BVRC;;;;;25/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0231194W;GAZ;VENTE DE GAZ;2,55400;STANDARD;1,04;EUR;25/08/2026;0688K2608BVRC;20,00;GAZ - MECANISME CPB;;;25/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0231194W;GAZ;VENTE DE GAZ;2,55400;STANDARD;32,67;EUR;25/08/2026;0688K2608BVRC;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;25/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0231194W;GAZ;VENTE DE GAZ;2,55400;STANDARD;41,86;EUR;25/08/2026;0688K2608BVRC;20,00;TICGN GAZ;;;25/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0231194W;GAZ;VENTE DE GAZ;0,00001;STANDARD;81,25;EUR;25/08/2026;0688K2608BVRC;20,00;DEBOURS P1 GAZ STOCKAGE;;;25/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0231194W;GAZ;VENTE DE GAZ;0,00001;STANDARD;91,73;EUR;25/08/2026;0688K2608BVRC;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;25/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0231194W;GAZ;VENTE DE GAZ;2,55400;STANDARD;104,97;EUR;25/08/2026;0688K2608BVRC;20,00;DEBOURS P1 GAZ;;;25/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0231194W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;70,71;EUR;25/08/2026;0688K2608BVRC;20,00;;;;25/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0397066L;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;1272,66;EUR;25/08/2026;0688K2608BVJU;;;;;25/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0397066L;GAZ;VENTE DE GAZ;12,45800;STANDARD;5,11;EUR;25/08/2026;0688K2608BVJU;20,00;GAZ - MECANISME CPB;;;25/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0397066L;GAZ;VENTE DE GAZ;0,00001;STANDARD;71,10;EUR;25/08/2026;0688K2608BVJU;20,00;DEBOURS P1 GAZ STOCKAGE;;;25/08/2026;;;B00000007H
