Folio;Ecart;Début de période;Fin de période
Tous;Oui;27/06/2026;27/08/2026
Folio;Date;App Amont Nb piéce;App Amont Débit;App Amont Crédit;SI Finance Nb piece;SI Finance Débit;SI Finance Crédit;Ecarts Nb Piece;Ecarts Débit;Ecarts Crédit;Commentaire;Nom fichier transmis;Présence d'une piéce jointe;Lettrage
KVI;07/08/2026;6;95290,89;95290,89;0;0;0;6;95290,89;95290,89;;CDPG.NC4.EXPORT.2026080714531726260.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
KVI;04/08/2026;14;672424,38;672424,38;13;486814,87;486814,87;1;185609,51;185609,51;;CDPG.NC4.EXPORT.2026080414530255520.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
RNE;27/08/2026;2;1859,53;1859,53;0;0;0;2;1859,53;1859,53;;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;non;
SVB;27/08/2026;14;3168678,44;3168678,44;0;0;0;14;3168678,44;3168678,44;;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;non;
SVD;27/08/2026;289;67991,57;67991,57;0;0;0;289;67991,57;67991,57;;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;non;
THO;25/08/2026;0;0;0;1;11177,07;11177,07;-1;-11177,07;-11177,07;;VCH01_SRC_ECRITURESGL_270726-160000;non;
THO;28/07/2026;24352;57254376,97;57254376,97;24351;57243199,9;57243199,9;1;11177,07;11177,07;1 pièce dans la GDR : n° 0000007836;VCH01_SRC_ECRITURESGL_270726-160000;non;
VFF;19/08/2026;2;1345,44;1345,44;1;672,72;672,72;1;672,72;672,72;1 facture REJECTED dans ap_invoices_interface et qu'une seule facture envoyée (voir pièce jointe) !A équilibrer;VHC03_SRC_FACTURESFOURNISSEURS_100826_114541;oui;
VFF;10/08/2026;35;1234169,75;1234169,75;1;77248,04;77248,03;34;1156921,71;1156921,72;Facture X6U00192 dans la GDR;VHC03_SRC_FACTURESFOURNISSEURS_070826_144348;non;
VFF;07/08/2026;12;90052,46;90052,46;0;0;0;12;90052,46;90052,46;12 PROCESSED dans ap_invoices_interface.A voir pourquoi on n'a pas le retour d'Oracle dans Contrôle des flux;VHC03_SRC_FACTURESFOURNISSEURS_070826_114606;non;
VFF;07/08/2026;7;18235,12;18235,12;0;0;0;7;18235,12;18235,12;1 PROCESSED et 6 REJECTED dans ap_invoices_interface.A voir pourquoi on n'a pas le retour d'Oracle dans Contrôle des flux;VHC03_SRC_FACTURESFOURNISSEURS_070826_152413;non;
VFF;06/08/2026;1;18521,67;18521,67;1;18520,73;18521,67;0;0,94;0;facture REJECTED dans ap_invoice_interface , montant 18521,67  ok dans entête  par contre 18520,73 dans select sum(amount) from ap_invoice_lines_interface where invoice_id = 12505402;;VHC03_SRC_FACTURESFOURNISSEURS_060826_150206;non;
VTC;27/08/2026;194;505277,04;505277,04;0;0;0;194;505277,04;505277,04;;FAC02_SRC_FACTURESCLIENTS_270826-033130_ST_FAC02_639233982902357243_001;non;
