guid;categorie;fichier;statut;detail
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747429208.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0341DLSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747449209.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0348DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747459210.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0357DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747469211.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0364DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747479212.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0367DLSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747499213.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0367DOSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747499213.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0380DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747509214.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0392DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747519215.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0394DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747529216.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0399DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747539217.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
