guid;fichier_edf;nb_sources_regroupees;nb_ack_footer;nb_ack_detail;nb_oracle_edf;nb_somme_sources;montant_ack_footer;montant_ack_detail;montant_oracle_edf;montant_somme_sources;statut_lignes;statut_montant
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746789197.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;679;679;679;679;701413420;701413420;701413420;701413420;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746809198.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;3499901;3499901;3499901;3499901;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746829199.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;313343;313343;313343;313343;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746839200.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;24000;24000;24000;24000;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746859201.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;15884;15884;15884;15884;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746869202.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;267428;267428;267428;267428;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746879203.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;18948;18948;18948;18948;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201746899204.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;4244;4244;4244;4244;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747389205.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;11;11;11;11;59544186;59544186;59544186;59544186;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747409206.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;232085;232085;232085;232085;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747419207.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;4;4;4;4;859904;859904;859904;859904;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747429208.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;178026;178026;178026;178026;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747449209.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;1241454;1241454;1241454;1241454;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747459210.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;23;23;23;23;10925383;10925383;10925383;10925383;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747469211.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;145200;145200;145200;145200;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747479212.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;764160;764160;764160;764160;OK;OK
29e3a1f1f9114102a4583ed0eaac2512;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747499213.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;8;8;8;8;9067749;9067749;9067749;9067749;OK;OK
