CEL01_SRC_FACTURESFOURNISSEURS_100826-201628_ST_CEL01_639219897886958648_001.csv
N° ligne source;Erreur;Date arrêté comptable;Code société;Compte local;ID fournisseur externe;CodeTache;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de pièce comptable;Numéro de pièce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'échéance;ID scan facture;Origine scan facture;Code region
0000000092;Nature 1: empty or null;26/08/2026;0001;606100;74182-FRA94973;GL0023441M;CEC;AV CHA 1069423229 8165537 ;-462.00000;CREDIT;-11.480000;EUR;22/07/2026;1069423229;5.500;;WIRE;DED_05.50D;22/07/2026;1069423229.pdf;MAN;B00000002C
0000000139;Nature 1: empty or null;26/08/2026;0001;606100;16066-FRA78280;GL0036885P;CEC;FAC CHA 181261891902  ;1652.00000;STANDARD;348.570000;EUR;04/08/2026;181261891902;10.000;;WIRE;DED_10.00D;04/08/2026;DSW-181261891902.pdf;MAN;B00000003D
