Folio;Ecart;Début de période;Fin de période
Tous;Oui;23/04/2026;23/07/2026
Folio;Date;App Amont Nb piéce;App Amont Débit;App Amont Crédit;SI Finance Nb piece;SI Finance Débit;SI Finance Crédit;Ecarts Nb Piece;Ecarts Débit;Ecarts Crédit;Commentaire;Nom fichier transmis;Présence d'une piéce jointe;Lettrage
KEH;01/07/2026;1;6068,97;6068,97;0;0;0;1;6068,97;6068,97;;CDPG.NC4.EXPORT.2026070114320670414.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
KFI;01/07/2026;113;303324454,29;303324454,29;0;0;0;113;303324454,29;303324454,29;;CDPG.NC4.EXPORT.2026070114320670414.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
KVI;22/07/2026;0;0;0;1;157220,98;157220,98;-1;-157220,98;-157220,98;;CDPG.NC4.EXPORT.2026072114520272219.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
KVI;21/07/2026;17;21537265,88;21537265,88;16;21380044,9;21380044,9;1;157220,98;157220,98;;CDPG.NC4.EXPORT.2026072114520272219.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
KVI;01/07/2026;17;3755558,82;3755558,82;0;0;0;17;3755558,82;3755558,82;;CDPG.NC4.EXPORT.2026070114320670414.COMP.E_COMP_DALKIA.E_COMPTA_1;non;
NOT;23/07/2026;577;142880,74;142880,74;0;0;0;577;142880,74;142880,74;;NOT01_SRC_FACTURESFOURNISSEURS_20260723003803;non;
PRE;21/07/2026;1;414305938,3;414305938,3;0;0;0;1;414305938,3;414305938,3;;GXP01_SRC_ECRITURESGL_0001_PRE_20260721_20260731;non;
RNE;23/07/2026;1;19270,72;19270,72;0;0;0;1;19270,72;19270,72;;FAC02_SRC_FACTURESCLIENTS_230726-005846_ST_FAC02_639203651262547897_001;non;
RNE;10/07/2026;1;1882,64;1882,64;0;0;0;1;1882,64;1882,64;;FAC02_SRC_FACTURESCLIENTS_100726-011026_ST_FAC02_639192426267212556_001;non;
SVB;23/07/2026;22;37694,28;37694,28;0;0;0;22;37694,28;37694,28;;FAC02_SRC_FACTURESCLIENTS_230726-005846_ST_FAC02_639203651262547897_001;non;
SVB;10/07/2026;3;1528573,95;1528573,95;0;0;0;3;1528573,95;1528573,95;;FAC02_SRC_FACTURESCLIENTS_100726-011026_ST_FAC02_639192426267212556_001;non;
SVD;23/07/2026;496;701124,25;701124,25;0;0;0;496;701124,25;701124,25;;FAC02_SRC_FACTURESCLIENTS_230726-005846_ST_FAC02_639203651262547897_001;non;
SVD;10/07/2026;358;212529,06;212529,06;0;0;0;358;212529,06;212529,06;;FAC02_SRC_FACTURESCLIENTS_100726-011026_ST_FAC02_639192426267212556_001;non;
VTC;23/07/2026;14;158208,64;158208,64;0;0;0;14;158208,64;158208,64;;FAC02_SRC_FACTURESCLIENTS_230726-005846_ST_FAC02_639203651262547897_001;non;
VTC;10/07/2026;14;38184,94;38184,94;0;0;0;14;38184,94;38184,94;;FAC02_SRC_FACTURESCLIENTS_100726-011026_ST_FAC02_639192426267212556_001;non;
