guid;categorie;fichier;statut;detail
0b162b5edf254caf9ecf51d56a525763;DK;DK_30003-0479DCWGPX-20260731-48640801_20260731-022044.txt;OK;attendu via Oracle
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_source;DK_FIN01_30003-0479DCWGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_cible;DK_FIN01_30003-0479DCWGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985504667.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0b162b5edf254caf9ecf51d56a525763;DK;DK_30003-0514DNAGPX-20260731-48640801_20260731-022044.txt;OK;attendu via Oracle
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_source;DK_FIN01_30003-0514DNAGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_cible;DK_FIN01_30003-0514DNAGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985524668.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0b162b5edf254caf9ecf51d56a525763;DK;DK_30004-0001DLSGPX-20260731-48640801_20260731-022044.txt;OK;attendu via Oracle
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_source;DK_FIN01_30004-0001DLSGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_cible;DK_FIN01_30004-0001DLSGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985534669.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0b162b5edf254caf9ecf51d56a525763;DK;DK_30004-0001DNAGPX-20260731-48640801_20260731-022044.txt;OK;attendu via Oracle
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_source;DK_FIN01_30004-0001DNAGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_cible;DK_FIN01_30004-0001DNAGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985534669.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0b162b5edf254caf9ecf51d56a525763;DK;DK_30004-0001DSWGPX-20260731-48640801_20260731-022044.txt;OK;attendu via Oracle
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_source;DK_FIN01_30004-0001DSWGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_cible;DK_FIN01_30004-0001DSWGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985534669.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0b162b5edf254caf9ecf51d56a525763;DK;DK_30004-0149DSWGPX-20260731-48640801_20260731-022044.txt;OK;attendu via Oracle
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_source;DK_FIN01_30004-0149DSWGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_cible;DK_FIN01_30004-0149DSWGPX-20260731-48640801_20260731-022044.txt;OK;
0b162b5edf254caf9ecf51d56a525763;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854573985544670.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0bc72410b32e401ca9b5897d8ff910b6;DK;DK_30003-0001DCWEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_source;DK_FIN01_30003-0001DCWEXP-20260731-48639843_20260731-010354.txt;OK;
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_cible;DK_FIN01_30003-0001DCWEXP-20260731-48639843_20260731-010354.txt;OK;
0bc72410b32e401ca9b5897d8ff910b6;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854527781174773.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0bc72410b32e401ca9b5897d8ff910b6;DK;DK_30003-0001DEWEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_source;DK_FIN01_30003-0001DEWEXP-20260731-48639843_20260731-010354.txt;OK;
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_cible;DK_FIN01_30003-0001DEWEXP-20260731-48639843_20260731-010354.txt;OK;
0bc72410b32e401ca9b5897d8ff910b6;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854527781174773.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0bc72410b32e401ca9b5897d8ff910b6;DK;DK_30003-0001DLSEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_source;DK_FIN01_30003-0001DLSEXP-20260731-48639843_20260731-010354.txt;OK;
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_cible;DK_FIN01_30003-0001DLSEXP-20260731-48639843_20260731-010354.txt;OK;
0bc72410b32e401ca9b5897d8ff910b6;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854527781174773.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0001DMSEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0001DMSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0001DMSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161294629.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0001DNAEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0001DNAEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0001DNAEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161294629.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0001DOSEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0001DOSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0001DOSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161294629.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0001DRWEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0001DRWEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0001DRWEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161294629.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0001DSWEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0001DSWEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0001DSWEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161294629.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0198DLSEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0198DLSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0198DLSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161314630.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0218DRWEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0218DRWEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0218DRWEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17854528161324631.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
31a208ebd9cb4712910957b023c4eab0;DK;DK_30003-0245DLSEXP-20260731-48639843_20260731-010354.txt;OK;attendu via Oracle
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_source;DK_FIN01_30003-0245DLSEXP-20260731-48639843_20260731-010354.txt;OK;
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_cible;DK_FIN01_30003-0245DLSEXP-20260731-48639843_20260731-010354.txt;OK;
