Application;Group Name;Job Name;Odate;Start Time;End Time;Run Time;Status;Description;Member Name;Task Type;Deleted;Rerun Counter;Cyclic;CONTROL-M Name;Table;Run as User;Hostname;Nodegroup;Order id;
CEL-CELERIS;CELCEL_J12TRT_04_Q;CELCEL_J12TRT_04_CAL01_Q;"March 10, 2026";"March 10, 2026 8:26:52 PM";"March 10, 2026 8:46:53 PM";;Ended OK;CELERIS Calcul des factures;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CELCEL_J12TRT_04_Q;svce_cm;wdkcelp12;A_W_CEL12;3ns8i
CEL-CELERIS;CELCEL_J13TRT_04_Q;CELCEL_J13TRT_04_WRK01_Q;"March 10, 2026";"March 10, 2026 8:26:34 PM";"March 10, 2026 8:26:41 PM";;Ended OK;CELERIS Prolongation des contrats;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CELCEL_J13TRT_04_Q;svce_cm;wdkcelp12;A_W_CEL12;3nrj9
CEL-CELERIS;CELCEL_J14TRT_04_Q;CELCEL_J14TRT_04_WRK01_Q;"March 10, 2026";"March 10, 2026 8:26:31 PM";"March 10, 2026 8:26:33 PM";;Ended OK;CELERIS Mise a jour des compteurs;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CELCEL_J14TRT_04_Q;svce_cm;wdkcelp13;A_W_CEL13;3ns9h
CEL-CELERIS;CELCEL_J15TRT_04_Q;CELCEL_J15TRT_04_WRK01_Q;"March 10, 2026";"March 10, 2026 8:46:54 PM";"March 10, 2026 8:49:21 PM";;Ended OK;CELERIS Traitement des cycles facture;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CELCEL_J15TRT_04_Q;svce_cm;wdkcelp12;A_W_CEL12;3ntd8
CEL-CELERIS;CELCEL_J17TRT_04_Q;CELCEL_J17TRT_04_WRK01_Q;"March 10, 2026";"March 11, 2026 7:00:00 AM";"March 11, 2026 7:00:40 AM";;Ended OK;CELERIS - EndNuitApplicative;EndNuitApplicative.bat;Job;No;1;No;CTMSRV;CELCEL_J17TRT_04_Q;svce_cm;wdkcelp12;A_W_CEL12;3ns20
CEL-CELERIS;CELCID_J11GEN_06_Q;CELCID_J11GEN_06_EXP01_Q;"March 10, 2026";"March 10, 2026 8:04:32 PM";"March 10, 2026 8:04:49 PM";;Ended OK;Génération du fichier de refacturation (CEL01_SRC_ERF_*);ExportRefacturationCelCid.bat;Job;No;1;No;CTMSRV;CELCID_J11GEN_06_Q;svce_cm;wdkcelp12;A_W_CEL12;3nsx2
CEL-CELERIS;CELCID_J11GEN_06_Q;CELCID_J11GEN_06_MOV01_Q;"March 10, 2026";"March 10, 2026 8:04:50 PM";"March 10, 2026 8:04:52 PM";;Ended OK;CELERIS : Déplacement du fichier de refacturation vers la PFE;MOV_Generique_DKA.bat;Job;No;1;No;CTMSRV;CELCID_J11GEN_06_Q;svce_cm;wdkcelp12;A_W_CEL12;3nsx3
CEL-CELERIS;CELCID_J11GEN_06_Q;CELCID_J11GEN_06_Q;"March 10, 2026";"March 10, 2026 1:30:10 PM";"March 10, 2026 8:04:52 PM";;Ended OK;Génération et déplacement du fichier de refacturation;;SMART Table;No;1;No;CTMSRV;CELCID_J11GEN_06_Q;;ldkctmp50;;3nsx1
CEL-CELERIS;CELCID_J11INT_05_Q;CELCID_J11INT_05_IMP01_Q;"March 10, 2026";"March 10, 2026 8:13:09 PM";"March 10, 2026 8:26:17 PM";2310;Ended OK;CELERIS Integration des donnees du fichier du referentiel partage CID;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CELCID_J11INT_05_Q;svce_cm;wdkcelp12;A_W_CEL12;3ntc3
CEL-CELERIS;CELCID_J11INT_05_Q;CELCID_J11INT_05_LIM01_Q;"March 10, 2026";"March 10, 2026 11:15:00 PM";"March 10, 2026 11:15:00 PM";;Ended OK;CELERIS Limite horaire Integration des donnees du fichier du referentiel partage CID;;Dummy;No;1;No;CTMSRV;CELCID_J11INT_05_Q;svce_cm;;A_W_CEL12;3ntc4
