"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"22";"37694,28";"37694,28";"-22";"-37694,28";"-37694,28";"";"0";"-37694,28";"37694,28";"22";"37694,28";"-22";"-37694,28";"KO"
"CEL";"GL";"29/07/2026";"CEL01_SRC_ECRITURESGL_290726-170113";"3476";"131867367,81";"131867367,81";"3475";"131864235";"131864235";"1";"3132,81";"3132,81";"";"131867367,81";"3132,81";"0";"3482";"131896374,11";"-6";"-29006,30";"KO"
"CMB";"GL";"29/07/2026";"PRN01_SRC_ECRITURESGL_20260729-093357";"1524";"21011773,14";"21011773,14";"1524";"21011773,18";"21011773,18";"0";"-0,04";"-0,04";"";"21011773,14";"-0,04";"10505886,59";"762";"10505886,59";"762";"10505886,55";"KO"
"CYC";"CLIENTS";"31/07/2026";"HEF01_SRC_FACTURESCLIENTS_310726-011000_ST_HEF01_639210570008761041_001";"366";"2078725,38";"2078725,38";"0";"0";"0";"366";"2078725,38";"2078725,38";"";"2078725,38";"2078725,38";"2078725,38";"0";"0";"366";"2078725,38";"KO"
"CYC";"CLIENTS";"30/07/2026";"HEF01_SRC_FACTURESCLIENTS_300726-011015_ST_HEF01_639209706151651257_001";"730";"7157061,08";"7157061,08";"730";"7844756,88";"7844756,88";"0";"-687695,8";"-687695,8";"";"7157061,08";"-687695,8";"2215687,85";"457";"4941373,23";"273";"2215687,85";"KO"
"CYF";"FOURNISSEURS";"31/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_310726-011019_ST_HEF01_639210570190193730_001";"9";"233645,74";"233645,74";"0";"0";"0";"9";"233645,74";"233645,74";"";"233645,74";"233645,74";"233645,74";"0";"0";"9";"233645,74";"KO"
"FAS";"CLIENTS";"31/07/2026";"FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001";"9";"11040000";"11040000";"0";"0";"0";"9";"11040000";"11040000";"";"11040000";"11040000";"11040000";"0";"0";"9";"11040000";"KO"
"FGE";"GL";"31/07/2026";"FAC02_SRC_ECRITURESGL_310726-010642";"3";"1028,21";"1028,21";"0";"0";"0";"3";"1028,21";"1028,21";"";"1028,21";"1028,21";"1028,21";"0";"0";"3";"1028,21";"KO"
"GAZ";"FOURNISSEURS";"31/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_310726-010538_ST_FAC02_639210567383139345_001";"118";"-299773,47";"-299773,47";"0";"0";"0";"118";"-299773,47";"-299773,47";"";"-299773,47";"-299773,47";"-276552,7";"0";"0";"118";"-299773,47";"KO"
"GAZ";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"468";"694600,31";"694600,31";"-468";"-694600,31";"-694600,31";"";"0";"-694600,31";"694600,31";"468";"694600,31";"-468";"-694600,31";"KO"
"GCA";"CLIENTS";"31/07/2026";"FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001";"2092";"8259224,46";"8259224,46";"0";"0";"0";"2092";"8259224,46";"8259224,46";"";"8259224,46";"8259224,46";"8259224,46";"0";"0";"2092";"8259224,46";"KO"
