411150;0472986A;D;6371.00;+
707000;;C;5309.00;+
445710;;C;1062.00;+
411150;0065898H;D;41749.00;+
707000;;C;34791.00;+
445710;;C;6958.00;+
411150;0065898H;D;74286.00;+
707000;;C;61905.00;+
445710;;C;12381.00;+
411150;0065898H;D;10086.00;+
707000;;C;8405.00;+
445710;;C;1681.00;+
411150;0065898H;D;26260.00;+
707000;;C;21883.00;+
445710;;C;4377.00;+
411150;0293145S;D;4937.00;+
707000;;C;4114.00;+
445710;;C;823.00;+
411150;0065898H;D;8530.00;+
707000;;C;7108.00;+
445710;;C;1422.00;+
411150;0472986A;D;11766.00;+
707000;;C;9805.00;+
445710;;C;1961.00;+
411100;0317614N;D;3656.00;+
706001;;C;3047.00;+
445710;;C;609.00;+
411100;0317614N;D;145099.00;+
706001;;C;120916.00;+
445710;;C;24183.00;+
411100;0317614N;D;760555.00;+
708820;;C;633796.00;+
445710;;C;126759.00;+
411150;0472986A;D;4238.00;+
707000;;C;3532.00;+
445710;;C;706.00;+
411150;0065898H;D;3484.00;+
707000;;C;2903.00;+
445710;;C;581.00;+
411150;0065898H;D;29556.00;+
707000;;C;24630.00;+
445710;;C;4926.00;+
411150;0472986A;D;9185.00;+
707000;;C;7654.00;+
445710;;C;1531.00;+
411150;0431284D;D;125298.00;+
707000;;C;104415.00;+
445710;;C;20883.00;+
411150;0431284D;D;90463.00;+
707000;;C;75386.00;+
445710;;C;15077.00;+
411150;0568916S;D;13675.00;+
707000;;C;11396.00;+
445710;;C;2279.00;+
411150;0568916S;D;5783.00;+
707000;;C;4819.00;+
445710;;C;964.00;+
411150;0065898H;D;9192.00;+
707000;;C;7660.00;+
445710;;C;1532.00;+
411100;0235243E;D;2381293.00;+
706001;;C;423624.00;+
706001;;C;1560787.00;+
445710;;C;84725.00;+
445710;;C;312157.00;+
411100;0162179T;C;641249.00;+
706001;;D;259481.00;+
706001;;D;138274.00;+
706001;;D;80876.00;+
706001;;D;36155.00;+
706001;;D;36125.00;+
706001;;D;24129.00;+
706001;;D;24105.00;+
706001;;D;6577.00;-
706001;;D;14350.00;-
706001;;D;19183.00;-
706001;;D;24661.00;-
445710;;D;106875.00;+
411100;0000082H;D;677071.00;+
706001;;C;5558.00;+
706001;;C;17218.00;+
706001;;C;23285.00;+
706001;;C;23409.00;+
706001;;C;26486.00;+
706001;;C;34115.00;+
706001;;C;37334.00;+
706001;;C;40262.00;+
706001;;C;41961.00;+
706001;;C;44417.00;+
706001;;C;45461.00;+
706001;;C;93266.00;+
706001;;C;131454.00;+
445710;;C;112845.00;+
411100;0015748X;D;416826.00;+
706001;;C;347355.00;+
445710;;C;69471.00;+
411100;0028183H;D;43110.00;+
706001;;C;7698.00;+
706001;;C;30793.00;+
445715;;C;1540.00;+
445715;;C;3079.00;+
411100;0231479C;C;2475550.00;+
706001;;D;544350.00;+
706001;;D;272146.00;+
706001;;D;226625.00;+
706001;;D;208775.00;+
706001;;D;158758.00;+
706001;;D;140684.00;+
706001;;D;106318.00;+
706001;;D;105785.00;+
706001;;D;95665.00;+
706001;;D;50308.00;+
706001;;D;29327.00;+
706001;;D;25151.00;+
706001;;D;20944.00;+
706001;;D;19295.00;+
706001;;D;14672.00;+
706001;;D;13002.00;+
706001;;D;9826.00;+
706001;;D;9776.00;+
706001;;D;8841.00;+
706001;;D;2710.00;+
445710;;D;412592.00;+
411100;0231479C;C;1886179.00;+
706001;;D;539895.00;+
706001;;D;400903.00;+
706001;;D;316277.00;+
706001;;D;90970.00;+
706001;;D;50787.00;+
706001;;D;49896.00;+
706001;;D;44527.00;+
706001;;D;37051.00;+
706001;;D;29230.00;+
706001;;D;8407.00;+
706001;;D;4694.00;+
706001;;D;4115.00;+
706001;;D;418.00;-
706001;;D;4518.00;-
445710;;D;314363.00;+
411100;0231479C;D;152845.00;+
706001;;C;127371.00;+
445715;;C;25474.00;+
411100;0255983W;D;193440.00;+
706001;;C;161200.00;+
445710;;C;32240.00;+
411100;0255983W;D;38724.00;+
706001;;C;32270.00;+
445710;;C;6454.00;+
411100;0265659B;D;103396.00;+
706001;;C;86163.00;+
445710;;C;17233.00;+
411150;0467774N;D;27897.00;+
707000;;C;23247.00;+
445710;;C;4650.00;+
411150;0293145S;D;3935.00;+
707000;;C;3279.00;+
445710;;C;656.00;+
411150;0293145S;D;4345.00;+
707000;;C;3621.00;+
445710;;C;724.00;+
411150;0467774N;D;21052.00;+
707000;;C;17544.00;+
445710;;C;3508.00;+
411150;0431284D;D;5855.00;+
707000;;C;4879.00;+
445710;;C;976.00;+
411150;0431284D;D;30712.00;+
707000;;C;25593.00;+
445710;;C;5119.00;+
411150;0431284D;D;10802.00;+
707000;;C;9002.00;+
445710;;C;1800.00;+
411150;0431284D;D;4199.00;+
707000;;C;3499.00;+
445710;;C;700.00;+
411150;0471474I;D;19274.00;+
707000;;C;16062.00;+
445710;;C;3212.00;+
411150;0471474I;D;104510.00;+
707000;;C;87092.00;+
445710;;C;17418.00;+
411150;0431284D;D;7363.00;+
707000;;C;6136.00;+
445710;;C;1227.00;+
411150;0431284D;D;1489.00;+
707000;;C;1241.00;+
445710;;C;248.00;+
411150;0328297W;D;62788.00;+
707000;;C;52323.00;+
445710;;C;10465.00;+
411150;0328297W;D;4872.00;+
707000;;C;4060.00;+
445710;;C;812.00;+
411150;0253255E;D;21218.00;+
707000;;C;17682.00;+
445710;;C;3536.00;+
411150;0568915R;D;9010.00;+
707000;;C;7508.00;+
445710;;C;1502.00;+
411100;0546945L;D;353860.00;+
706001;;C;61963.00;+
706001;;C;65869.00;+
762800;;C;102025.00;+
706001;;C;105555.00;+
445715;;C;5611.00;+
445710;;C;5806.00;+
445715;;C;7031.00;+
411150;0472986A;D;8809.00;+
707000;;C;7341.00;+
445710;;C;1468.00;+
411150;0020492N;D;153079.00;+
707000;;C;127566.00;+
445710;;C;25513.00;+
411150;0568915R;D;568.00;+
707000;;C;473.00;+
445710;;C;95.00;+
411150;0065898H;D;3671.00;+
707000;;C;3059.00;+
445710;;C;612.00;+
411150;0431284D;D;16439.00;+
707000;;C;13699.00;+
445710;;C;2740.00;+
411150;0412987D;D;3814.00;+
707000;;C;3814.00;+
411150;0568916S;D;91071.00;+
707000;;C;75893.00;+
445710;;C;15178.00;+
411150;0471474I;D;79557.00;+
707000;;C;66298.00;+
445710;;C;13259.00;+
411150;0568916S;D;98173.00;+
707000;;C;81811.00;+
445710;;C;16362.00;+
411100;0486141H;D;138805.00;+
706001;;C;115671.00;+
445710;;C;23134.00;+
411100;0264276F;D;1933868.00;+
708820;;C;24968.00;+
706001;;C;1586588.00;+
445710;;C;4994.00;+
445710;;C;317318.00;+
411100;0264276F;D;6657245.00;+
706001;;C;5547704.00;+
445710;;C;1109541.00;+
411150;0568915R;D;21481.00;+
707000;;C;17901.00;+
445710;;C;3580.00;+
411150;0568915R;D;9911.00;+
707000;;C;8259.00;+
445710;;C;1652.00;+
411150;0065898H;D;40937.00;+
707000;;C;34114.00;+
445710;;C;6823.00;+
411150;0568915R;D;18672.00;+
707000;;C;15560.00;+
445710;;C;3112.00;+
411150;0568915R;D;237286.00;+
702001;;C;5290.00;+
702001;;C;209944.00;+
445710;;C;1058.00;+
445710;;C;20994.00;+
411150;0224528F;D;26890.00;+
707000;;C;22408.00;+
445710;;C;4482.00;+
411150;0568915R;D;51824.00;+
707000;;C;43187.00;+
445710;;C;8637.00;+
411150;0020492N;D;30306.00;+
707000;;C;25255.00;+
445710;;C;5051.00;+
411150;0472986A;D;19759.00;+
707000;;C;16466.00;+
445710;;C;3293.00;+
411150;0065898H;D;93833.00;+
707000;;C;78194.00;+
445710;;C;15639.00;+
411150;0472986A;D;151163.00;+
707000;;C;125969.00;+
445710;;C;25194.00;+
411100;0585178Q;D;26332808.00;+
706001;;C;2206.00;+
706001;;C;136975.00;+
706001;;C;21804826.00;+
445710;;C;441.00;+
445715;;C;27395.00;+
445710;;C;4360965.00;+
411100;0320363E;D;624147.00;+
706001;;C;2170.00;+
706001;;C;2681.00;+
706001;;C;2840.00;+
706001;;C;38114.00;+
706001;;C;54890.00;+
706001;;C;109552.00;+
706001;;C;309876.00;+
445710;;C;434.00;+
445710;;C;536.00;+
445710;;C;568.00;+
445710;;C;7623.00;+
445710;;C;10978.00;+
445710;;C;21910.00;+
445710;;C;61975.00;+
411150;0467774N;D;2969.00;+
707000;;C;2474.00;+
445710;;C;495.00;+
411150;0467774N;D;17418.00;+
707000;;C;14515.00;+
445710;;C;2903.00;+
