411150;0568915R;D;124214.00;+
707000;;C;103511.00;+
445710;;C;20703.00;+
411100;0203505W;D;102000.00;+
706601;;C;85000.00;+
445715;;C;17000.00;+
411100;0203505W;D;3327000.00;+
706601;;C;2772500.00;+
445715;;C;554500.00;+
411100;0570214F;D;78458.00;+
706601;;C;65382.00;+
445715;;C;13076.00;+
411150;0328297W;D;104385.00;+
707000;;C;86988.00;+
445710;;C;17397.00;+
411150;0065898H;D;4095.00;+
707000;;C;3413.00;+
445710;;C;682.00;+
411100;0572537K;C;600074.00;+
706001;;D;500062.00;+
445710;;D;100012.00;+
411150;0568916S;D;224444.00;+
707000;;C;187037.00;+
445710;;C;37407.00;+
411150;0472986A;D;106014.00;+
707000;;C;88345.00;+
445710;;C;17669.00;+
411150;0568916S;D;17376.00;+
707000;;C;14480.00;+
445710;;C;2896.00;+
411150;0293145S;D;1950.00;+
707000;;C;1625.00;+
445710;;C;325.00;+
411150;0472986A;D;3373.00;+
707000;;C;2811.00;+
445710;;C;562.00;+
411150;0065898H;D;609428.00;+
707000;;C;507857.00;+
445710;;C;101571.00;+
411150;0471474I;D;216689.00;+
707000;;C;180574.00;+
445710;;C;36115.00;+
411100;0324712C;D;20108.00;+
706601;;C;18280.00;+
445715;;C;1828.00;+
411100;0324712C;D;38917.00;+
706601;;C;35379.00;+
445715;;C;3538.00;+
411150;0065898H;D;138547.00;+
707000;;C;115456.00;+
445710;;C;23091.00;+
411150;0065898H;D;264557.00;+
707000;;C;220464.00;+
445710;;C;44093.00;+
411100;0068700W;D;260357.00;+
706601;;C;78867.00;+
706601;;C;157821.00;+
445715;;C;7887.00;+
445715;;C;15782.00;+
411100;0059101P;D;311504.00;+
706601;;C;283185.00;+
445715;;C;28319.00;+
411100;0576209P;D;103126.00;+
706601;;C;97750.00;+
445715;;C;5376.00;+
411150;0065898H;D;65034.00;+
707000;;C;54195.00;+
445710;;C;10839.00;+
411150;0065898H;D;62304.00;+
707000;;C;51920.00;+
445710;;C;10384.00;+
411150;0065898H;D;75078.00;+
707000;;C;62565.00;+
