"Folio";"Fichier";"Nb Factures Fichier";"Montant Fichier";"Nb Factures Oracle";"Montant Oracle";"Nb Factures Interface";"Montant Interface";"Statut"
"BIO";"FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001";"1";"2167,77";"1";"2167,77";"1";"2167,77";"INTEGREE"
"GAZ";"FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001";"318";"143249,31";"318";"143249,31";"318";"143249,31";"INTEGREE"
"HAC";"FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001";"12";"7385,52";"12";"7385,52";"12";"7385,52";"INTEGREE"
"ING";"FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001";"326";"3748960,62";"325";"3669141,8";"325";"3669141,8";"ECART"
