"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"ING";"0341L26071684";"01/07/2026";"918,1";"918,1";"918,1";"INTEGREE"
"GAZ";"0688K2607WXY1";"01/07/2026";"46,62";"46,62";"46,62";"INTEGREE"
"GAZ";"0688K2607WWW5";"01/07/2026";"46,1";"46,1";"46,1";"INTEGREE"
"GAZ";"0688K2607WXL0";"01/07/2026";"205,95";"205,95";"205,95";"INTEGREE"
"GAZ";"0688K2607WWV6";"01/07/2026";"6,83";"6,83";"6,83";"INTEGREE"
"GAZ";"0688K2607WWV7";"01/07/2026";"439,55";"439,55";"439,55";"INTEGREE"
"GAZ";"0688K2607WXC6";"01/07/2026";"1627,02";"1627,02";"1627,02";"INTEGREE"
"GAZ";"0688K2607WWV5";"01/07/2026";"94,02";"94,02";"94,02";"INTEGREE"
"GAZ";"0688K2607WXC5";"01/07/2026";"1399,13";"1399,13";"1399,13";"INTEGREE"
"GAZ";"0688K2607WXC4";"01/07/2026";"989,81";"989,81";"989,81";"INTEGREE"
"GAZ";"0688K2607WXC3";"01/07/2026";"929,24";"929,24";"929,24";"INTEGREE"
"GAZ";"0688K2607WXC8";"01/07/2026";"908,31";"908,31";"908,31";"INTEGREE"
"GAZ";"0688K2607WXC7";"01/07/2026";"193,09";"193,09";"193,09";"INTEGREE"
"GAZ";"0688K2607WXH9";"01/07/2026";"1451,64";"1451,64";"1451,64";"INTEGREE"
"GAZ";"0688K2607WXH8";"01/07/2026";"545,58";"545,58";"545,58";"INTEGREE"
"GAZ";"0688K2607WWT6";"01/07/2026";"210,61";"210,61";"210,61";"INTEGREE"
"GAZ";"0688K2607WWW9";"01/07/2026";"68,44";"68,44";"68,44";"INTEGREE"
"GAZ";"0688K2607WXN5";"01/07/2026";"1529,33";"1529,33";"1529,33";"INTEGREE"
"GAZ";"0688K2607WXQ9";"01/07/2026";"823,56";"823,56";"823,56";"INTEGREE"
"GAZ";"0688K2607WXQ7";"01/07/2026";"221,99";"221,99";"221,99";"INTEGREE"
"GAZ";"0688K2607WXS2";"01/07/2026";"479,57";"479,57";"479,57";"INTEGREE"
"GAZ";"0688K2607WXS3";"01/07/2026";"458,98";"458,98";"458,98";"INTEGREE"
"GAZ";"0688K2607WWY0";"01/07/2026";"171,25";"171,25";"171,25";"INTEGREE"
"GAZ";"0688K2607WWW8";"01/07/2026";"713,19";"713,19";"713,19";"INTEGREE"
"GAZ";"0688K2607WXH0";"01/07/2026";"153,73";"153,73";"153,73";"INTEGREE"
"GAZ";"0688K2607WXG1";"01/07/2026";"225,68";"225,68";"225,68";"INTEGREE"
"GAZ";"0688K2607WXE9";"01/07/2026";"1221,88";"1221,88";"1221,88";"INTEGREE"
"GAZ";"0688K2607WXH5";"01/07/2026";"1557,2";"1557,2";"1557,2";"INTEGREE"
"GAZ";"0688K2607WWP4";"01/07/2026";"151,88";"151,88";"151,88";"INTEGREE"
"GAZ";"0688K2607WWP1";"01/07/2026";"69,97";"69,97";"69,97";"INTEGREE"
"GAZ";"0688K2607WXQ6";"01/07/2026";"181,16";"181,16";"181,16";"INTEGREE"
"GAZ";"0688K2607WXJ5";"01/07/2026";"438,67";"438,67";"438,67";"INTEGREE"
"GAZ";"0688K2607WXU5";"01/07/2026";"162,96";"162,96";"162,96";"INTEGREE"
"GAZ";"0688K2607WXM3";"01/07/2026";"348,98";"348,98";"348,98";"INTEGREE"
"GAZ";"0688K2607WWS5";"01/07/2026";"623,31";"623,31";"623,31";"INTEGREE"
