CEG;GL0862361F;DEBOURS P1 GAZ PARTIES FIXES;EFT;0001;B00000008J;DMS;602210;20,000;06/07/2026;DED_20.00D;OAE000;ITEM;;;;1841567;2395990;DEBOURS P1 GAZ PARTIES FIXES;704;;
CEG;GL0862361F;;EFT;0001;B00000008J;DMS;445660;20,000;06/07/2026;DED_20.00D;OAE000;TAX;;;;;;;;DED_20.00D;
CEE;GL0731647S;DEBOURS P1 ELECTRICITE;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;1429549;1893662;DEBOURS P1 ELECTRICITE;1182;;
CEE;GL0731647S;DEBOURS P1 ELEC TAXES;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;1429549;1893662;DEBOURS P1 ELEC TAXES;1182;;
CEE;GL0731647S;DEBOURS P1 ELEC TURPE PF;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;1429549;1893662;DEBOURS P1 ELEC TURPE PF;1182;;
CEE;GL0731647S;DEBOURS P1 ELEC TURPE PV;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;1429549;1893662;DEBOURS P1 ELEC TURPE PV;1182;;
CEE;GL0731647S;;EFT;0001;B00000007H;DEW;445660;20,000;20/07/2026;DED_20.00D;OAE000;TAX;;;;;;;;DED_20.00D;
CEC;GL0474280E;ACHAT EAU P1;EFT;0001;B00000007H;DEW;606100;5,500;16/07/2026;DED_05.50D;OAE000;ITEM;;;;550531;844122;ACHAT EAU P1;1177;;
CEC;GL0474280E;ACHAT EAU P1;EFT;0001;B00000007H;DEW;606100;10,000;16/07/2026;DED_10.00D;OAE000;ITEM;;;;550531;844122;ACHAT EAU P1;1177;;
CEC;GL0474280E;;EFT;0001;B00000007H;DEW;445660;5,500;16/07/2026;DED_05.50D;OAE000;TAX;;;;;;;;DED_05.50D;
CEC;GL0474280E;;EFT;0001;B00000007H;DEW;445660;10,000;16/07/2026;DED_10.00D;OAE000;TAX;;;;;;;;DED_10.00D;
CEE;GL1223183F;DEBOURS P1 ELECTRICITE;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;2602630;3122153;DEBOURS P1 ELECTRICITE;1182;;
CEE;GL1223183F;DEBOURS P1 ELEC TAXES;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;2602630;3122153;DEBOURS P1 ELEC TAXES;1182;;
CEE;GL1223183F;DEBOURS P1 ELEC TURPE PF;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;2602630;3122153;DEBOURS P1 ELEC TURPE PF;1182;;
CEE;GL1223183F;DEBOURS P1 ELEC TURPE PV;EFT;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;2602630;3122153;DEBOURS P1 ELEC TURPE PV;1182;;
CEE;GL1223183F;;EFT;0001;B00000007H;DEW;445660;20,000;20/07/2026;DED_20.00D;OAE000;TAX;;;;;;;;DED_20.00D;
CEE;GL0018812C;DEBOURS P1 ELECTRICITE;WIRE;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;18914;110485;DEBOURS P1 ELECTRICITE;1178;;
CEE;GL0018812C;DEBOURS P1 ELEC TAXES;WIRE;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;18914;110485;DEBOURS P1 ELEC TAXES;1178;;
CEE;GL0018812C;DEBOURS P1 ELEC TURPE PF;WIRE;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;18914;110485;DEBOURS P1 ELEC TURPE PF;1178;;
CEE;GL0018812C;DEBOURS P1 ELEC TURPE PV;WIRE;0001;B00000007H;DEW;606103;20,000;20/07/2026;DED_20.00D;OAE000;ITEM;;;;18914;110485;DEBOURS P1 ELEC TURPE PV;1178;;
