guid;categorie;fichier;statut;detail
0e0c86f1016e4fd59dc4305967a4b691;DK_FIN01_cible;DK_FIN01_30003-0001DCWEXP-20260905-48965311_20260905-015131.txt;OK;
0e0c86f1016e4fd59dc4305967a4b691;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17885660970907302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0e0c86f1016e4fd59dc4305967a4b691;DK_FIN01_cible;DK_FIN01_30003-0001DEWEXP-20260905-48965311_20260905-015131.txt;OK;
0e0c86f1016e4fd59dc4305967a4b691;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17885660970907302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0e0c86f1016e4fd59dc4305967a4b691;DK_FIN01_cible;DK_FIN01_30003-0001DLSEXP-20260905-48965311_20260905-015131.txt;OK;
0e0c86f1016e4fd59dc4305967a4b691;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17885660970907302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0e0c86f1016e4fd59dc4305967a4b691;DK_FIN01_cible;DK_FIN01_30003-0001DMSEXP-20260905-48965311_20260905-015131.txt;OK;
0e0c86f1016e4fd59dc4305967a4b691;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17885660970907302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0e0c86f1016e4fd59dc4305967a4b691;DK_FIN01_cible;DK_FIN01_30003-0001DNAEXP-20260905-48965311_20260905-015131.txt;OK;
0e0c86f1016e4fd59dc4305967a4b691;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17885660970907302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0e0c86f1016e4fd59dc4305967a4b691;DK_FIN01_cible;DK_FIN01_30003-0001DOSEXP-20260905-48965311_20260905-015131.txt;OK;
0e0c86f1016e4fd59dc4305967a4b691;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17885660970907302.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
