guid;categorie;fichier;statut;detail
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DCWEMP-20260915-49039500_20260915-021512.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DCWEMP-20260915-49039500_20260915-021512.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DCWEMP-20260915-49039500_20260915-021512.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DEWEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DEWEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DEWEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DLSEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DLSEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DLSEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DMSEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DMSEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DMSEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DNAEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DNAEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DNAEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DOSEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DOSEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DOSEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DRWEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DRWEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DRWEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0ab9fb010eba4d98a464464d897f9608;DK;DK_30003-0001DSWEMP-20260915-49039500_20260915-021513.txt;OK;attendu via Oracle
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_source;DK_FIN01_30003-0001DSWEMP-20260915-49039500_20260915-021513.txt;OK;
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_cible;DK_FIN01_30003-0001DSWEMP-20260915-49039500_20260915-021513.txt;OK;
