guid;fichier_edf;nb_sources_regroupees;nb_ack_footer;nb_ack_detail;nb_oracle_edf;nb_somme_sources;montant_ack_footer;montant_ack_detail;montant_oracle_edf;montant_somme_sources;statut_lignes;statut_montant
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039548279.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;702;702;702;702;14195036;14195036;14195036;14195036;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039588280.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;9;9;9;9;287366;287366;287366;287366;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039588281.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;6;6;6;6;128970;128970;128970;128970;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039618282.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;34485;34485;34485;34485;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039628283.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;54;54;54;54;671109;671109;671109;671109;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039738284.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;51243;51243;51243;51243;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039768285.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;91541;91541;91541;91541;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039778286.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;6;6;6;6;111137;111137;111137;111137;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039788287.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;130000;130000;130000;130000;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039798288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;65;65;65;65;1906708;1906708;1906708;1906708;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039798289.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;23926;23926;23926;23926;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039808290.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;4;4;4;4;43255;43255;43255;43255;OK;OK
0ab9fb010eba4d98a464464d897f9608;CDPG.NC4.IMPORT_ACK.DLK_VIR_17894315039818291.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;12110;12110;12110;12110;OK;OK
