452756;0001;11884913;NOT;DEB/M;91
493277;0001;11884914;NOT;DEB/M;89
499825;0001;11884915;NOT;DEB/M;82
501133;0119;11884916;NOT;DEB/M;249
501600;0001;11884917;NOT;DEB/M;91
501758;0119;11884918;NOT;DEB/M;249
502293;0001;11884919;NOT;DEB/M;91
502513;0001;11884920;NOT;DEB/M;88
502840;0001;11884921;NOT;DEB/M;91
505011;0001;11884922;NOT;DEB/M;91
505177;0001;11884923;NOT;DEB/M;91
505791;0001;11884924;NOT;DEB/M;82
506154;0001;11884925;NOT;DEB/M;85
506737;0001;11884926;NOT;DEB/M;91
506739;0001;11884927;NOT;DEB/M;91
506766;0441;11884928;NOT;DEB/M;107
506842;0001;11884929;NOT;DEB/M;89
507345;0001;11884930;NOT;DEB/M;91
507368;0001;11884931;NOT;DEB/M;85
507439;0441;11884932;NOT;DEB/M;107
507554;0001;11884933;NOT;DEB/M;86
507719;0001;11884934;NOT;DEB/M;86
508120;0001;11884935;NOT;DEB/M;82
508221;0001;11884936;NOT;DEB/M;91
508309;0001;11884937;NOT;DEB/M;82
508360;0001;11884938;NOT;DEB/M;85
508363;0001;11884939;NOT;DEB/M;87
508376;0001;11884940;NOT;DEB/M;87
508514;0001;11884941;NOT;DEB/M;86
508716;0001;11884942;NOT;DEB/M;91
508816;0001;11884943;NOT;DEB/M;91
508832;0001;11884944;NOT;DEB/M;91
508899;0001;11884945;NOT;DEB/M;85
508983;0001;11884946;NOT;DEB/M;91
508985;0001;11884947;NOT;DEB/M;88
509234;0119;11884948;NOT;DEB/M;249
509290;0001;11884949;NOT;DEB/M;88
509336;0001;11884950;NOT;DEB/M;87
510023;0001;11884951;NOT;DEB/M;88
510268;0001;11884952;NOT;DEB/M;86
510323;0001;11884953;NOT;DEB/M;87
510334;0001;11884954;NOT;DEB/M;88
510605;0001;11884955;NOT;DEB/M;85
510645;0001;11884956;NOT;DEB/M;85
510792;0001;11884957;NOT;DEB/M;88
510804;0001;11884958;NOT;DEB/M;91
511042;0001;11884959;NOT;DEB/M;88
511178;0001;11884960;NOT;DEB/M;91
511217;0373;11884961;NOT;DEB/M;344
511293;0001;11884962;NOT;DEB/M;85
511299;0001;11884963;NOT;DEB/M;91
511353;0001;11884964;NOT;DEB/M;91
511370;0001;11884965;NOT;DEB/M;82
511375;0001;11884966;NOT;DEB/M;91
511446;0001;11884967;NOT;DEB/M;85
511545;0441;11884968;NOT;DEB/M;107
511574;0119;11884969;NOT;DEB/M;249
511589;0001;11884970;NOT;DEB/M;88
511679;0001;11884971;NOT;DEB/M;88
511777;0001;11884972;NOT;DEB/M;86
511793;0001;11884973;NOT;DEB/M;91
511883;0001;11884974;NOT;DEB/M;91
511896;0001;11884975;NOT;DEB/M;88
512008;0001;11884976;NOT;DEB/M;87
512033;0001;11884977;NOT;DEB/M;88
512084;0001;11884978;NOT;DEB/M;86
512103;0001;11884979;NOT;DEB/M;87
512239;0001;11884980;NOT;DEB/M;89
512299;0001;11884981;NOT;DEB/M;85
512315;0119;11884982;NOT;DEB/M;249
512323;0001;11884983;NOT;DEB/M;87
512366;0001;11884984;NOT;DEB/M;88
512382;0001;11884985;NOT;DEB/M;88
512450;0001;11884986;NOT;DEB/M;85
512457;0001;11884987;NOT;DEB/M;88
512472;0001;11884988;NOT;DEB/M;89
512475;0001;11884989;NOT;DEB/M;88
