452756;0001;0,00;1
452756;0001;10,00;2
452756;0001;20,00;3
452756;0001;5,50;4
493277;0001;0,00;1
499825;0001;0,00;1
499825;0001;10,00;2
499825;0001;20,00;3
501133;0119;0,00;1
501133;0119;10,00;2
501133;0119;5,50;3
501600;0001;10,00;1
501600;0001;20,00;2
501758;0119;0,00;1
501758;0119;10,00;2
501758;0119;20,00;3
501758;0119;5,50;4
502293;0001;10,00;1
502293;0001;5,50;2
502513;0001;0,00;1
502513;0001;20,00;2
502513;0001;5,50;3
502840;0001;0,00;1
502840;0001;10,00;2
502840;0001;20,00;3
502840;0001;5,50;4
505011;0001;0,00;1
505011;0001;10,00;2
505011;0001;5,50;3
505177;0001;5,50;1
505791;0001;10,00;1
506154;0001;0,00;1
506154;0001;10,00;2
506154;0001;20,00;3
506737;0001;10,00;1
506737;0001;5,50;2
506739;0001;10,00;1
506739;0001;5,50;2
506766;0441;10,00;1
506766;0441;20,00;2
506766;0441;5,50;3
506842;0001;0,00;1
506842;0001;10,00;2
507345;0001;0,00;1
507345;0001;10,00;2
507345;0001;20,00;3
507345;0001;5,50;4
507368;0001;0,00;1
507368;0001;10,00;2
507368;0001;20,00;3
507368;0001;5,50;4
507439;0441;10,00;1
507554;0001;0,00;1
507554;0001;10,00;2
507554;0001;5,50;3
507719;0001;10,00;1
507719;0001;5,50;2
508120;0001;0,00;1
508120;0001;10,00;2
508120;0001;20,00;3
508120;0001;5,50;4
508221;0001;0,00;1
508221;0001;10,00;2
508221;0001;20,00;3
508221;0001;5,50;4
508309;0001;0,00;1
508309;0001;10,00;2
508309;0001;20,00;3
508309;0001;5,50;4
508360;0001;10,00;1
508360;0001;20,00;2
508360;0001;5,50;3
508363;0001;0,00;1
508363;0001;10,00;2
508363;0001;20,00;3
508363;0001;5,50;4
508376;0001;0,00;1
508376;0001;10,00;2
508376;0001;5,50;3
508514;0001;0,00;1
508514;0001;10,00;2
508514;0001;20,00;3
508514;0001;5,50;4
508716;0001;0,00;1
508716;0001;10,00;2
508716;0001;20,00;3
508716;0001;5,50;4
508816;0001;0,00;1
508816;0001;10,00;2
508832;0001;10,00;1
508832;0001;20,00;2
508832;0001;5,50;3
508899;0001;0,00;1
508899;0001;10,00;2
508899;0001;20,00;3
508899;0001;5,50;4
508983;0001;0,00;1
508983;0001;10,00;2
508985;0001;10,00;1
508985;0001;20,00;2
509234;0119;0,00;1
