true;0001;10252812460;12570504
true;0001;10254860273;12570505
true;0001;10256926137;12570506
true;0001;10258989807;12570507
true;0693;1523726200223;12570508
true;0001;2026 EA 00 25057;12570509
true;0688;88296123;12570510
true;0001;10149390607;12570511
true;0394;1399326600001;12570512
true;0001;10093216888_1;12570513
true;0001;1275261E;12570514
true;0001;100005464398;12570515
true;0205;100005430010;12570516
true;0378;100005447119;12570517
true;0378;100005447121;12570518
true;0693;100005426448;12570519
true;0693;100005426449;12570520
true;0378;100005447120;12570521
true;0001;1275889E;12570522
true;0001;095117574000000034271032;12570523
true;0001;1275938E;12570524
true;0001;1275949E;12570525
true;0001;1276015E;12570526
true;0001;1276019E;12570527
true;0130;1070058950;12570528
true;0001;1276021E;12575452
true;0001;289772E;12575453
true;0001;289740E;12575454
true;0001;289705E;12575455
true;0001;289706E;12575456
true;0001;1276026E;12575457
true;0001;289707E;12575458
true;0001;289722E;12575459
true;0001;1276033E;12575460
true;0001;43238F;12575461
true;0001;43240F;12575462
true;0001;1276068E;12575463
true;0001;1276278E;12575464
true;0001;43270F;12575465
true;0105;1100023318;12575466
true;0001;88317638;12575467
true;0001;88317658;12575468
true;0001;88317759;12575469
true;0001;88317639;12575470
true;0001;88317661;12575471
true;0001;88317758;12575472
true;0502;10259070293;12575473
true;0389;10259103735;12575474
true;0001;10259070314;12575475
true;0001;10259105818;12575476
true;0001;10259103843;12575477
true;0577;10259105280;12575478
true;0001;10259064923;12575479
true;0001;10259069305;12575480
true;0490;10259067275;12575481
true;0167;10259105341;12575482
true;0001;10259069586;12575483
true;0001;10259067943;12575484
true;0001;10259102718;12575485
true;0001;10259108287;12575486
true;0001;10259104433;12575487
true;0001;10259107336;12575488
true;0001;88317663;12575489
true;0001;88317670;12575490
true;0001;88317667;12575491
true;0001;88317760;12575492
true;0001;88317669;12575493
true;0001;88317668;12575494
true;0001;88317757;12575495
true;0001;88317662;12575496
true;0001;88317660;12575497
true;0001;88317637;12575498
true;0001;10259069855;12575499
true;0001;10259067348;12575500
true;0001;10259070139;12575501
true;0001;10259067991;12575502
true;0001;10259100839;12575503
true;0001;10259102313;12575504
true;0001;10259067493;12575505
true;0001;10259100694;12575506
true;0158;10259099315;12575507
true;0515;10259068016;12575508
true;0001;10259069331;12575509
true;0300;10259067440;12575510
true;0001;10259099097;12575511
true;0490;10259068691;12575512
true;0444;10259068303;12575513
true;0364;10259106228;12575514
true;0300;10259068431;12575515
true;0245;10259106312;12575516
true;0001;10259103005;12575517
true;0844;10259067475;12575518
true;0713;10259065228;12575519
true;0001;10259107339;12575520
true;0691;10259070500;12575521
true;0300;10259103131;12575522
true;0691;10259070389;12575523
true;0691;10259099274;12575524
true;0691;10259100052;12575525
true;0691;10259104715;12575526
true;0691;10259070590;12575527
true;0691;10259100936;12575528
true;0691;10259104965;12575529
true;0691;10259067669;12575530
true;0691;10259103678;12575531
true;0691;10259101935;12575532
true;0691;10259067451;12575533
