VHC03_SRC_FACTURESFOURNISSEURS_070826_154005.csv
N° ligne source;Erreur;Date arrêté comptable;Code société;Compte local;ID fournisseur externe; Code Tache;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de pièce comptable;Numéro de pièce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'échéance;ID scan facture;Origine scan facture;Code region
0000000002;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1181216 052025;0;STANDARD;808.73;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000003;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001495Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000004;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1007835S;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000006G
0000000005;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0010061H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000006G
0000000006;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813632G;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000007;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813649B;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22.46;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000008;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001242L;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000009;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813656J;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000010;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001257D;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000011;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001275Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
