2986;0367;10,00;1
FA2791;0367;10,00;1
26070238;0367;20,00;1
260801940;0367;20,00;1
260801941;0367;20,00;1
260801928;0367;20,00;1
260801926;0367;20,00;1
5932;0367;10,00;1
5933;0367;10,00;1
5934;0367;10,00;1
5935;0367;10,00;1
5936;0367;10,00;1
9100000465;0367;10,00;1
26/07/19;0367;10,00;1
202607036;0367;10,00;1
202607035;0367;10,00;1
202607034;0367;10,00;1
5926;0367;10,00;1
5927;0367;10,00;1
5928;0367;10,00;1
739-1182;0367;10,00;1
202607033;0367;10,00;1
2026-07-VCOM7073;0367;10,00;1
VENTE-2026-0000075;0367;10,00;1
2026-07-VCOM7024;0367;10,00;1
2026-07-VCOM7035;0367;10,00;1
2026-07-VCOM7032;0367;10,00;1
2026-07-VCOM7033;0367;10,00;1
FCT-2026-179;0367;10,00;1
FA00001611;0367;10,00;1
260801922;0367;20,00;1
5166;0367;10,00;1
5167;0367;10,00;1
5168;0367;10,00;1
F2607-0148;0367;10,00;1
F2607-0149;0367;10,00;1
0739K26080291-082026;0367;10,00;1
2984;0367;10,00;1
2985;0367;10,00;1
0739K26080294-082026;0367;10,00;1
26-08-210;0367;10,00;1
0739K26080296-082026;0367;10,00;1
0739K2608S013-082026;0367;10,00;1
0739K26080298-082026;0367;10,00;1
0739K26080297-082026;0367;10,00;1
26A0211;0367;10,00;1
