GL Closing Date;Company Code;Compte local;ID fournisseur externe;Appro Task Code;Code Folio;Description;Quantity;Type;Montant;Currency Code;Document Date;Document Number;VAT %;Nature 1;Nature 2;VAT Type;Due Date;Invoice Scan ID;Invoice Scan Source;Region Code;Source file id;Application source
26/08/2026;0367;401100;S00082743-BEL9300;GD1588348R;HAF;STANDARD - 2026-273;0,00001;STANDARD;74167,11;EUR;31/07/2026;2026-273;0,00;;;;;PRN-FVB0064189-2INTEGRATE-2026-273.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445659;S00082743-BEL9300;GD1588348R;HAF;STANDARD - 2026-273;826,84000;STANDARD;7416,74;EUR;31/07/2026;2026-273;10,00;;;DED_INTRACOM_10.00;;PRN-FVB0064189-2INTEGRATE-2026-273.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445769;S00082743-BEL9300;GD1588348R;HAF;STANDARD - 2026-273;826,84000;STANDARD;-7416,74;EUR;31/07/2026;2026-273;-10,00;;;DED_OFFSET_10.00;;PRN-FVB0064189-2INTEGRATE-2026-273.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;S00082743-BEL9300;GD1588348R;HAF;STANDARD - 2026-273;826,84000;STANDARD;74167,11;EUR;31/07/2026;2026-273;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064189-2INTEGRATE-2026-273.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;79500-FRA33610;GN1583993S;HAF;STANDARD - L126070193;0,00001;STANDARD;66757,96;EUR;31/07/2026;L126070193;0,00;;;;;PRN-FVB0064190-ALLIANCE-FORETS-BOIS-L126070193.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;79500-FRA33610;GN1583993S;HAF;STANDARD - L126070193;604,10000;STANDARD;6068,91;EUR;31/07/2026;L126070193;10,00;;;DED_10.00D;;PRN-FVB0064190-ALLIANCE-FORETS-BOIS-L126070193.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;79500-FRA33610;GN1583993S;HAF;STANDARD - L126070193;604,10000;STANDARD;60689,05;EUR;31/07/2026;L126070193;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064190-ALLIANCE-FORETS-BOIS-L126070193.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;79500-FRA33610;GN1583455F;HAF;STANDARD - L126070194;0,00001;STANDARD;19496,52;EUR;31/07/2026;L126070194;0,00;;;;;PRN-FVB0064191-ALLIANCE-FORETS-BOIS-L126070194.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;79500-FRA33610;GN1583455F;HAF;STANDARD - L126070194;139,80000;STANDARD;1772,41;EUR;31/07/2026;L126070194;10,00;;;DED_10.00D;;PRN-FVB0064191-ALLIANCE-FORETS-BOIS-L126070194.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;79500-FRA33610;GN1583455F;HAF;STANDARD - L126070194;139,80000;STANDARD;17724,11;EUR;31/07/2026;L126070194;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064191-ALLIANCE-FORETS-BOIS-L126070194.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
