"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"22";"37694,28";"37694,28";"-22";"-37694,28";"-37694,28";"";"37694,28";"0,00";"37694,28";"22";"37694,28";"-22";"-37694,28";"KO"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"22";"37694,28";"37694,28";"0";"0";"0";"22";"37694,28";"37694,28";"CTL non reçu - FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"37694,28";"0,00";"37694,28";"22";"37694,28";"0";"0,00";"OK"
"CEC";"FOURNISSEURS";"05/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_050826-201326_ST_CEL01_639215576068893977_001";"4";"8551,37";"8551,37";"0";"0";"0";"4";"8551,37";"8551,37";"";"8551,37";"8551,37";"0";"0";"0";"4";"8551,37";"KO"
"CEE";"FOURNISSEURS";"05/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_050826-201326_ST_CEL01_639215576068893977_001";"79";"276196,2";"276196,2";"0";"0";"0";"79";"276196,2";"276196,2";"";"276196,2";"276196,2";"0";"0";"0";"79";"276196,2";"KO"
"CEG";"FOURNISSEURS";"05/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_050826-201326_ST_CEL01_639215576068893977_001";"280";"641406,06";"641406,06";"0";"0";"0";"280";"641406,06";"641406,06";"";"641406,06";"641406,06";"0";"0";"0";"280";"641406,06";"KO"
"CEL";"GL";"05/08/2026";"CEL01_PIVOT_GL_ECRITURESGL_20260729-170423";"-1";"-3132,81";"-3132,81";"0";"0";"0";"-1";"-3132,81";"-3132,81";"";"-3132,81";"-3132,81";"0";"0";"0";"-1";"-3132,81";"KO"
"CEL";"GL";"29/07/2026";"CEL01_SRC_ECRITURESGL_290726-170113";"3476";"131867367,81";"131867367,81";"3475";"131864235";"131864235";"1";"3132,81";"3132,81";"1 pièce dans la GDR - 02907000803";"131867367,81";"3132,81";"0";"3482";"131896374,11";"-6";"-29006,30";"KO"
"CYC";"CLIENTS";"04/08/2026";"HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001";"432";"2389384,07";"2389384,07";"432";"2960807,53";"2960807,53";"0";"-571423,46";"-571423,46";"";"2389384,07";"-571423,46";"1765,3";"431";"2387618,77";"1";"1765,30";"KO"
"FAS";"CLIENTS";"31/07/2026";"FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001";"9";"11040000";"11040000";"1";"11040000";"11040000";"8";"0";"0";"";"11040000";"0";"0";"1";"11040000";"8";"0";"KO"
"GAZ";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"468";"694600,31";"694600,31";"-468";"-694600,31";"-694600,31";"";"694600,31";"0,00";"694600,31";"468";"694600,31";"-468";"-694600,31";"KO"
