"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"CEC";"FOURNISSEURS";"08/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_080926-190342_ST_CEL01_639244910221715593_001";"20";"281983,84";"281983,84";"0";"0";"0";"20";"281983,84";"281983,84";"";"281983,84";"281983,84";"0";"0";"0";"20";"281983,84";"KO"
"CEC";"FOURNISSEURS";"08/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"0";"0";"0";"1";"34980,28";"34980,28";"-1";"-34980,28";"-34980,28";"";"121115,84";"78,71";"102229,26";"35";"121037,13";"-35";"-121037,13";"KO"
"CEC";"FOURNISSEURS";"07/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"36";"121115,84";"121115,84";"34";"86056,85";"86056,85";"2";"35058,99";"35058,99";"";"121115,84";"78,71";"102229,26";"35";"121037,13";"1";"78,71";"KO"
"CEE";"FOURNISSEURS";"08/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_080926-190342_ST_CEL01_639244910221715593_001";"43";"1220526,9";"1220526,9";"0";"0";"0";"43";"1220526,9";"1220526,9";"";"1220526,9";"1220526,9";"0";"0";"0";"43";"1220526,9";"KO"
"CEE";"FOURNISSEURS";"08/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"0";"0";"0";"1";"67,72";"67,72";"-1";"-67,72";"-67,72";"";"179465,24";"0,00";"178287,8";"55";"179465,24";"-55";"-179465,24";"KO"
"CEE";"FOURNISSEURS";"07/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"55";"179465,24";"179465,24";"54";"179397,52";"179397,52";"1";"67,72";"67,72";"";"179465,24";"0,00";"178287,8";"55";"179465,24";"0";"0,00";"OK"
"CEG";"FOURNISSEURS";"08/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_080926-190342_ST_CEL01_639244910221715593_001";"77";"375677,93";"375677,93";"0";"0";"0";"77";"375677,93";"375677,93";"";"375677,93";"375677,93";"0";"0";"0";"77";"375677,93";"KO"
"CEG";"FOURNISSEURS";"07/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_030926-201255_ST_CEL01_639240631750673854_001";"0";"0";"0";"1";"27233,42";"27233,42";"-1";"-27233,42";"-27233,42";"";"80984,67";"0,00";"80984,67";"6";"80984,67";"-6";"-80984,67";"KO"
"CEG";"FOURNISSEURS";"04/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_030926-201255_ST_CEL01_639240631750673854_001";"6";"80984,67";"80984,67";"5";"53751,25";"53751,25";"1";"27233,42";"27233,42";"";"80984,67";"0,00";"80984,67";"6";"80984,67";"0";"0,00";"OK"
"CEG";"FOURNISSEURS";"27/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001";"0";"0";"0";"23";"22550,27";"22550,27";"-23";"-22550,27";"-22550,27";"";"0";"-22550,27";"22550,27";"23";"22550,27";"-23";"-22550,27";"KO"
