"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"22";"37694,28";"37694,28";"-22";"-37694,28";"-37694,28";"";"0";"-37694,28";"37694,28";"22";"37694,28";"-22";"-37694,28";"KO"
"CEC";"FOURNISSEURS";"31/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_300726-200459_ST_CEL01_639210386993682415_001";"10";"78863,1";"78863,1";"7";"50900,51";"50900,51";"3";"27962,59";"27962,59";"";"78863,1";"27962,59";"50900,51";"0";"0";"10";"78863,1";"KO"
"CEL";"GL";"29/07/2026";"CEL01_SRC_ECRITURESGL_290726-170113";"3476";"131867367,81";"131867367,81";"3475";"131864235";"131864235";"1";"3132,81";"3132,81";"";"131867367,81";"3132,81";"0";"3482";"131896374,11";"-6";"-29006,30";"KO"
"CMB";"GL";"29/07/2026";"PRN01_SRC_ECRITURESGL_20260729-093357";"1524";"21011773,14";"21011773,14";"1524";"21011773,18";"21011773,18";"0";"-0,04";"-0,04";"";"21011773,14";"-0,04";"10505886,59";"762";"10505886,59";"762";"10505886,55";"KO"
"CYC";"CLIENTS";"01/08/2026";"HEF01_SRC_FACTURESCLIENTS_010826-011025_ST_HEF01_639211434257842259_001";"345";"2845996,24";"2845996,24";"0";"0";"0";"345";"2845996,24";"2845996,24";"";"2845996,24";"2845996,24";"0";"0";"0";"345";"2845996,24";"KO"
"CYC";"CLIENTS";"31/07/2026";"HEF01_SRC_FACTURESCLIENTS_310726-011000_ST_HEF01_639210570008761041_001";"366";"2078725,38";"2078725,38";"366";"2211802,42";"2211802,42";"0";"-133077,04";"-133077,04";"";"2078725,38";"-133077,04";"2078725,38";"0";"0";"366";"2078725,38";"KO"
"CYC";"CLIENTS";"30/07/2026";"HEF01_SRC_FACTURESCLIENTS_300726-011015_ST_HEF01_639209706151651257_001";"730";"7157061,08";"7157061,08";"730";"7844756,88";"7844756,88";"0";"-687695,8";"-687695,8";"";"7157061,08";"-687695,8";"2215687,85";"457";"4941373,23";"273";"2215687,85";"KO"
"CYF";"FOURNISSEURS";"01/08/2026";"HEF01_SRC_FACTURESFOURNISSEURS_010826-011042_ST_HEF01_639211434428310026_001";"8";"353963,49";"353963,49";"0";"0";"0";"8";"353963,49";"353963,49";"";"353963,49";"353963,49";"0";"0";"0";"8";"353963,49";"KO"
"FAS";"CLIENTS";"01/08/2026";"FAC02_SRC_FACTURESCLIENTS_010826-005747_ST_FAC02_639211426673639666_001";"1";"1752,55";"1752,55";"0";"0";"0";"1";"1752,55";"1752,55";"";"1752,55";"1752,55";"0";"0";"0";"1";"1752,55";"KO"
"FAS";"CLIENTS";"31/07/2026";"FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001";"9";"11040000";"11040000";"1";"11040000";"11040000";"8";"0";"0";"";"11040000";"0";"11040000";"0";"0";"9";"11040000";"KO"
