"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Nb Pieces Interface OA";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Commentaire";"Statut Verification"
"BIO";"FOURNISSEURS";"11/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_110926-012740_ST_FAC02_639246868603251289_001";"11";"2948597,64";"2948597,64";"0";"0";"0";"11";"2948597,64";"2948597,64";"2948597,64";"2948597,64";"11";"2948597,64";"0";"0";"11";"2948597,64";"";"KO"
"CEC";"FOURNISSEURS";"11/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_090926-200825_ST_CEL01_639245813056184957_001";"30";"1235907,16";"1235907,16";"27";"1234255,69";"1234255,69";"3";"1651,47";"1651,47";"1235907,16";"1651,47";"27";"1234255,69";"27";"1234255,69";"3";"1651,47";"";"KO"
"CEC";"FOURNISSEURS";"07/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"36";"121115,84";"121115,84";"35";"121037,13";"121037,13";"1";"78,71";"78,71";"121115,84";"78,71";"30";"102229,26";"35";"121037,13";"1";"78,71";"1 pièce dans la GDR : n° 1070396872";"KO"
"CMB";"GL";"27/08/2026";"PRN01_SRC_ECRITURESGL_20260827-094831";"1482";"20380128,76";"20380128,76";"1482";"20380128,8";"20380128,8";"0";"-0,04";"-0,04";"20380128,76";"-0,04";"0";"0";"1482";"20380128,8";"0";"-0,04";"";"KO"
"CYC";"CLIENTS";"11/09/2026";"HEF01_SRC_FACTURESCLIENTS_110926-011032_ST_HEF01_639246858326076795_001";"504";"3517632,36";"3517632,36";"0";"0";"0";"504";"3517632,36";"3517632,36";"3517632,36";"3517632,36";"504";"3517632,36";"0";"0";"504";"3517632,36";"";"KO"
"CYF";"FOURNISSEURS";"11/09/2026";"HEF01_SRC_FACTURESFOURNISSEURS_110926-011107_ST_HEF01_639246858676849481_001";"10";"142448,06";"142448,06";"0";"0";"0";"10";"142448,06";"142448,06";"142448,06";"142448,06";"10";"142448,06";"0";"0";"10";"142448,06";"";"KO"
"FAS";"CLIENTS";"11/09/2026";"FAC02_SRC_FACTURESCLIENTS_110926-011933_ST_FAC02_639246863734556086_001";"5";"461017,65";"461017,65";"0";"0";"0";"5";"461017,65";"461017,65";"461017,65";"461017,65";"5";"461017,65";"0";"0";"5";"461017,65";"";"KO"
"FAS";"CLIENTS";"07/09/2026";"FAC02_SRC_FACTURESCLIENTS_050926-005040_ST_FAC02_639241662407941086_001";"2";"-3781";"-3781";"1";"6849,8";"6849,8";"1";"-10630,8";"-10630,8";"-3781";"-10630,8";"0";"0";"1";"6849,8";"1";"-10630,8";"";"KO"
"FGE";"GL";"11/09/2026";"FAC02_SRC_ECRITURESGL_110926-012845";"12";"551,92";"551,92";"0";"0";"0";"12";"551,92";"551,92";"551,92";"551,92";"89";"551,92";"0";"0";"12";"551,92";"";"KO"
"GAZ";"FOURNISSEURS";"11/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_110926-012740_ST_FAC02_639246868603251289_001";"331";"1325530,12";"1325530,12";"0";"0";"0";"331";"1325530,12";"1325530,12";"1325530,12";"1325530,12";"330";"1283169,29";"0";"0";"331";"1325530,12";"";"KO"
"GCA";"CLIENTS";"11/09/2026";"FAC02_SRC_FACTURESCLIENTS_110926-011933_ST_FAC02_639246863734556086_001";"2089";"8384716,32";"8384716,32";"0";"0";"0";"2089";"8384716,32";"8384716,32";"8384716,32";"8384716,32";"2089";"8384716,32";"0";"0";"2089";"8384716,32";"";"KO"
"GCA";"CLIENTS";"02/09/2026";"FAC02_SRC_FACTURESCLIENTS_020926-021204_ST_FAC02_639239119244496039_001";"18132";"94161781,85";"94161781,85";"18132";"97156683,33";"97156683,33";"0";"-2994901,48";"-2994901,48";"94161781,85";"-2994901,48";"0";"0";"18132";"94161781,85";"0";"0,00";"";"OK"
"GCA";"CLIENTS";"07/08/2026";"FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001";"536";"2657762,9";"2657762,9";"528";"2640045,24";"2640045,24";"8";"17717,66";"17717,66";"2657762,9";"17717,66";"6";"17493,96";"530";"2640268,94";"6";"17493,96";"au 11/09 : plus que 6 factures dans l'interface : 0139R26082155, 0139R26082156, 0139R26082157, 0139R26082158, 0139R26082159, 0139R26082160";"KO"
"GER";"GL";"11/09/2026";"FAC02_SRC_ECRITURESGL_110926-012845";"28";"4985,15";"4985,15";"0";"0";"0";"28";"4985,15";"4985,15";"4985,15";"4985,15";"57";"4985,15";"0";"0";"28";"4985,15";"";"KO"
