"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"28/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_280726-013458_ST_FAC02_639207992980189192_001";"2";"4044,46";"4044,46";"0";"0";"0";"2";"4044,46";"4044,46";"4044,46";"4044,46";"4044,46";"0";"0";"2";"4044,46";"KO"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"22";"37694,28";"37694,28";"-22";"-37694,28";"-37694,28";"0";"-37694,28";"37694,28";"22";"37694,28";"-22";"-37694,28";"KO"
"CEC";"FOURNISSEURS";"27/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_270726-200605_ST_CEL01_639207795654017251_001";"3";"63778,15";"63778,15";"0";"0";"0";"3";"63778,15";"63778,15";"63778,15";"63778,15";"63778,15";"0";"0";"3";"63778,15";"KO"
"CEE";"FOURNISSEURS";"27/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_270726-200605_ST_CEL01_639207795654017251_001";"121";"-1465539,63";"-1465539,63";"0";"0";"0";"121";"-1465539,63";"-1465539,63";"-1465539,63";"-1465539,63";"-1466539,37";"0";"0";"121";"-1465539,63";"KO"
"CEG";"FOURNISSEURS";"27/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_270726-200605_ST_CEL01_639207795654017251_001";"64";"214911,15";"214911,15";"0";"0";"0";"64";"214911,15";"214911,15";"214911,15";"214911,15";"214911,15";"0";"0";"64";"214911,15";"KO"
"CYC";"CLIENTS";"28/07/2026";"HEF01_SRC_FACTURESCLIENTS_280726-011019_ST_HEF01_639207978197096298_001";"460";"4455948,32";"4455948,32";"0";"0";"0";"460";"4455948,32";"4455948,32";"4455948,32";"4455948,32";"4455948,32";"0";"0";"460";"4455948,32";"KO"
"CYF";"FOURNISSEURS";"28/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_280726-011053_ST_HEF01_639207978530982417_001";"33";"442893,4";"442893,4";"0";"0";"0";"33";"442893,4";"442893,4";"442893,4";"442893,4";"304266,83";"0";"0";"33";"442893,4";"KO"
"FAS";"CLIENTS";"28/07/2026";"FAC02_SRC_FACTURESCLIENTS_280726-011546_ST_FAC02_639207981467959771_001";"1";"236,5";"236,5";"0";"0";"0";"1";"236,5";"236,5";"236,5";"236,5";"236,5";"0";"0";"1";"236,5";"KO"
"FGE";"GL";"28/07/2026";"FAC02_SRC_ECRITURESGL_280726-013605";"3";"3789,57";"3789,57";"0";"0";"0";"3";"3789,57";"3789,57";"3789,57";"3789,57";"3789,57";"0";"0";"3";"3789,57";"KO"
"GAZ";"FOURNISSEURS";"28/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_280726-013458_ST_FAC02_639207992980189192_001";"899";"61754,88";"61754,88";"0";"0";"0";"899";"61754,88";"61754,88";"61754,88";"61754,88";"43174,57";"0";"0";"899";"61754,88";"KO"
"GAZ";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"468";"694600,31";"694600,31";"-468";"-694600,31";"-694600,31";"0";"-694600,31";"694600,31";"468";"694600,31";"-468";"-694600,31";"KO"
"GCA";"CLIENTS";"28/07/2026";"FAC02_SRC_FACTURESCLIENTS_280726-011546_ST_FAC02_639207981467959771_001";"454";"3069391,38";"3069391,38";"0";"0";"0";"454";"3069391,38";"3069391,38";"3069391,38";"3069391,38";"3069391,38";"0";"0";"454";"3069391,38";"KO"
"GCA";"CLIENTS";"17/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"2502";"11580650,99";"11580650,99";"0";"0";"0";"2502";"11580650,99";"11580650,99";"11580650,99";"11580650,99";"0";"2502";"11580650,99";"0";"0,00";"OK"
"GCA";"CLIENTS";"03/07/2026";"FAC02_SRC_FACTURESCLIENTS_030726-005913_ST_FAC02_639186371537075584_001";"3049";"10724557,01";"10724557,01";"3048";"10724557,01";"10724557,01";"1";"0";"0";"10724557,01";"0";"0";"3048";"10724557,01";"1";"0,00";"KO"
"GER";"GL";"28/07/2026";"FAC02_SRC_ECRITURESGL_280726-013605";"28";"12338,92";"12338,92";"0";"0";"0";"28";"12338,92";"12338,92";"12338,92";"12338,92";"12338,92";"0";"0";"28";"12338,92";"KO"
"GER";"GL";"04/07/2026";"FAC02_SRC_ECRITURESGL_040726-011149";"36";"11971,96";"11971,96";"0";"0";"0";"36";"11971,96";"11971,96";"11971,96";"11971,96";"0";"35";"10303,76";"1";"1668,20";"KO"
"HAC";"FOURNISSEURS";"28/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_280726-013458_ST_FAC02_639207992980189192_001";"10";"-48061,14";"-48061,14";"0";"0";"0";"10";"-48061,14";"-48061,14";"-48061,14";"-48061,14";"-48061,14";"0";"0";"10";"-48061,14";"KO"
"HAC";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"7";"97450,54";"97450,54";"-7";"-97450,54";"-97450,54";"0";"-97450,54";"97450,54";"7";"97450,54";"-7";"-97450,54";"KO"
"HAF";"FOURNISSEURS";"27/07/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260727_205100";"24";"38838,74";"38838,74";"0";"0";"0";"24";"38838,74";"38838,74";"38838,74";"38838,74";"38838,74";"0";"0";"24";"38838,74";"KO"
"HAF";"FOURNISSEURS";"27/07/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260727_205929";"72";"90299,83";"90299,83";"0";"0";"0";"72";"90299,83";"90299,83";"90299,83";"90299,83";"85858,27";"0";"0";"72";"90299,83";"KO"
"IGP";"CLIENTS";"28/07/2026";"FAC02_SRC_FACTURESCLIENTS_280726-011546_ST_FAC02_639207981467959771_001";"31";"1139321,48";"1139321,48";"0";"0";"0";"31";"1139321,48";"1139321,48";"1139321,48";"1139321,48";"1139321,48";"0";"0";"31";"1139321,48";"KO"
"IGP";"CLIENTS";"17/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"86";"2119256,02";"2119256,02";"0";"0";"0";"86";"2119256,02";"2119256,02";"2119256,02";"2119256,02";"0";"86";"2119256,02";"0";"0,00";"OK"
