"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"26/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_260826-010723_ST_FAC02_639233032431247529_001";"4";"23048,46";"23048,46";"3";"60785,23";"60785,23";"1";"-37736,77";"-37736,77";"";"23048,46";"-37736,77";"60785,23";"3";"11101,62";"1";"11946,84";"KO"
"BIO";"FOURNISSEURS";"26/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001";"5";"196693,05";"196693,05";"10";"393386,1";"393386,1";"-5";"-196693,05";"-196693,05";"";"196693,05";"-196693,05";"196693,05";"5";"196693,05";"0";"0,00";"OK"
"BIO";"FOURNISSEURS";"25/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_250826-010237_ST_FAC02_639232165577317569_001";"52";"1361178,85";"1361178,85";"51";"1235823,26";"1235823,26";"1";"125355,59";"125355,59";"";"1361178,85";"125355,59";"1230696,9";"51";"849562,19";"1";"511616,66";"KO"
"CAP";"GL";"28/08/2026";"FAC02_SRC_ECRITURESGL_270826-171601";"0";"0";"0";"1";"26088,12";"26088,12";"-1";"-26088,12";"-26088,12";"";"86527518,68";"0,00";"0";"13234";"86907468,46";"-13234";"-86907468,46";"KO"
"CAP";"GL";"27/08/2026";"FAC02_SRC_ECRITURESGL_270826-171601";"13227";"86527518,68";"86527518,68";"13226";"86501430,56";"86501430,56";"1";"26088,12";"26088,12";"";"86527518,68";"0,00";"0";"13234";"86907468,46";"-7";"-379949,78";"KO"
"CEC";"FOURNISSEURS";"28/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_280826-200549_ST_CEL01_639235443498617690_001";"3";"891090,54";"891090,54";"0";"0";"0";"3";"891090,54";"891090,54";"";"891090,54";"891090,54";"891090,54";"0";"0";"3";"891090,54";"KO"
"CEE";"FOURNISSEURS";"28/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_280826-200549_ST_CEL01_639235443498617690_001";"62";"349639,84";"349639,84";"0";"0";"0";"62";"349639,84";"349639,84";"";"349639,84";"349639,84";"349639,84";"0";"0";"62";"349639,84";"KO"
"CEG";"FOURNISSEURS";"28/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_280826-200549_ST_CEL01_639235443498617690_001";"67";"17770,53";"17770,53";"0";"0";"0";"67";"17770,53";"17770,53";"";"17770,53";"17770,53";"17770,53";"0";"0";"67";"17770,53";"KO"
"CEG";"FOURNISSEURS";"27/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001";"0";"0";"0";"23";"22550,27";"22550,27";"-23";"-22550,27";"-22550,27";"";"0";"-22550,27";"22550,27";"23";"22550,27";"-23";"-22550,27";"KO"
"CMB";"GL";"27/08/2026";"PRN01_SRC_ECRITURESGL_20260827-094831";"1482";"20380128,76";"20380128,76";"1482";"20380128,8";"20380128,8";"0";"-0,04";"-0,04";"";"20380128,76";"-0,04";"10190064,4";"741";"10190064,4";"741";"10190064,36";"KO"
