Folio	Type	Date	Nom fichier transmis
BIO	FOURNISSEURS	22/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_220826-004641_ST_FAC02_639229564015706762_001
BIO	FOURNISSEURS	18/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001
CEC	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_200826-200640_ST_CEL01_639228532007810486_001
CEC	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_210826-200343_ST_CEL01_639229394236992755_001
CEC	FOURNISSEURS	11/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEC	FOURNISSEURS	10/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEE	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_210826-200343_ST_CEL01_639229394236992755_001
CEE	FOURNISSEURS	10/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEG	FOURNISSEURS	21/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_210826-200343_ST_CEL01_639229394236992755_001
CEG	FOURNISSEURS	20/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_190826-200514_ST_CEL01_639227667146764677_001
CEG	FOURNISSEURS	11/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CEG	FOURNISSEURS	10/08/2026	CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001
CYC	CLIENTS	22/08/2026	HEF01_SRC_FACTURESCLIENTS_220826-011008_ST_HEF01_639229578084974534_001
CYC	CLIENTS	07/08/2026	HEF01_SRC_FACTURESCLIENTS_070826-011057_ST_HEF01_639216618570470716_001
CYC	CLIENTS	04/08/2026	HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001
CYF	FOURNISSEURS	22/08/2026	HEF01_SRC_FACTURESFOURNISSEURS_220826-011025_ST_HEF01_639229578250379911_001
FAS	CLIENTS	22/08/2026	FAC02_SRC_FACTURESCLIENTS_220826-004610_ST_FAC02_639229563703609185_001
FAS	CLIENTS	31/07/2026	FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001
FGE	GL	22/08/2026	FAC02_SRC_ECRITURESGL_220826-004732
GAZ	FOURNISSEURS	22/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_220826-004641_ST_FAC02_639229564015706762_001
