"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Nb Pieces Interface OA";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Commentaire";"Statut Verification"
"BIO";"FOURNISSEURS";"10/09/2026";"FAC02_SRC_FACTURESFOURNISSEURS_100926-012317_ST_FAC02_639246001972031210_001";"12";"-272365,44";"-272365,44";"0";"0";"0";"12";"-272365,44";"-272365,44";"-272365,44";"-272365,44";"12";"-272365,44";"12";"-272365,44";"0";"0,00";"";"OK"
"CEC";"FOURNISSEURS";"09/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_090926-200825_ST_CEL01_639245813056184957_001";"30";"1235907,16";"1235907,16";"0";"0";"0";"30";"1235907,16";"1235907,16";"1235907,16";"1235907,16";"27";"1234255,69";"27";"1234255,69";"3";"1651,47";"";"KO"
"CEC";"FOURNISSEURS";"07/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_040926-200528_ST_CEL01_639241491282495640_001";"36";"121115,84";"121115,84";"35";"121037,13";"121037,13";"1";"78,71";"78,71";"121115,84";"78,71";"30";"102229,26";"35";"121037,13";"1";"78,71";"1 pièce dans la GDR : n° 1070396872";"KO"
"CEE";"FOURNISSEURS";"09/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_090926-200825_ST_CEL01_639245813056184957_001";"185";"453545,14";"453545,14";"0";"0";"0";"185";"453545,14";"453545,14";"453545,14";"453545,14";"185";"453545,14";"185";"453545,14";"0";"0,00";"";"OK"
"CEG";"FOURNISSEURS";"09/09/2026";"CEL01_SRC_FACTURESFOURNISSEURS_090926-200825_ST_CEL01_639245813056184957_001";"38";"265874,32";"265874,32";"0";"0";"0";"38";"265874,32";"265874,32";"265874,32";"265874,32";"38";"265874,32";"38";"265874,32";"0";"0,00";"";"OK"
"CEG";"FOURNISSEURS";"27/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_260826-200601_ST_CEL01_639233715613781153_001";"0";"0";"0";"23";"22550,27";"22550,27";"-23";"-22550,27";"-22550,27";"0";"-22550,27";"23";"22550,27";"23";"22550,27";"-23";"-22550,27";"";"KO"
"CMB";"GL";"27/08/2026";"PRN01_SRC_ECRITURESGL_20260827-094831";"1482";"20380128,76";"20380128,76";"1482";"20380128,8";"20380128,8";"0";"-0,04";"-0,04";"20380128,76";"-0,04";"0";"0";"1482";"20380128,8";"0";"-0,04";"";"KO"
"CYC";"CLIENTS";"11/09/2026";"HEF01_SRC_FACTURESCLIENTS_110926-011032_ST_HEF01_639246858326076795_001";"504";"3517632,36";"3517632,36";"0";"0";"0";"504";"3517632,36";"3517632,36";"3517632,36";"3517632,36";"0";"0";"0";"0";"504";"3517632,36";"";"KO"
"CYC";"CLIENTS";"10/09/2026";"HEF01_SRC_FACTURESCLIENTS_100926-010959_ST_HEF01_639245993997554824_001";"482";"4766303,16";"4766303,16";"0";"0";"0";"482";"4766303,16";"4766303,16";"4766303,16";"4766303,16";"0";"0";"482";"3983160,84";"0";"783142,32";"";"KO"
"CYF";"FOURNISSEURS";"11/09/2026";"HEF01_SRC_FACTURESFOURNISSEURS_110926-011107_ST_HEF01_639246858676849481_001";"10";"142448,06";"142448,06";"0";"0";"0";"10";"142448,06";"142448,06";"142448,06";"142448,06";"0";"0";"0";"0";"10";"142448,06";"";"KO"
