"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"22";"37694,28";"37694,28";"-22";"-37694,28";"-37694,28";"";"0";"-37694,28";"37694,28";"22";"37694,28";"-22";"-37694,28";"KO"
"CEC";"FOURNISSEURS";"03/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_030826-202332_ST_CEL01_639213854120818547_001";"13";"80983,51";"80983,51";"0";"0";"0";"13";"80983,51";"80983,51";"";"80983,51";"80983,51";"80622,88";"0";"0";"13";"80983,51";"KO"
"CEE";"FOURNISSEURS";"03/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_030826-202332_ST_CEL01_639213854120818547_001";"565";"3995760,69";"3995760,69";"0";"0";"0";"565";"3995760,69";"3995760,69";"";"3995760,69";"3995760,69";"3622105,52";"0";"0";"565";"3995760,69";"KO"
"CEG";"FOURNISSEURS";"03/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_030826-202332_ST_CEL01_639213854120818547_001";"63";"214772,32";"214772,32";"0";"0";"0";"63";"214772,32";"214772,32";"";"214772,32";"214772,32";"211565,61";"0";"0";"63";"214772,32";"KO"
"CEL";"GL";"29/07/2026";"CEL01_SRC_ECRITURESGL_290726-170113";"3476";"131867367,81";"131867367,81";"3475";"131864235";"131864235";"1";"3132,81";"3132,81";"";"131867367,81";"3132,81";"0";"3482";"131896374,11";"-6";"-29006,30";"KO"
"CMB";"GL";"29/07/2026";"PRN01_SRC_ECRITURESGL_20260729-093357";"1524";"21011773,14";"21011773,14";"1524";"21011773,18";"21011773,18";"0";"-0,04";"-0,04";"";"21011773,18";"0,00";"0";"1524";"21011773,18";"0";"-0,04";"KO"
"CMB";"GL";"29/07/2026";"PRN01_SRC_ECRITURESGL_20260729-093357";"0";"0,04";"0,04";"0";"0";"0";"0";"0,04";"0,04";"Correction CTL - PRN01_SRC_ECRITURESGL_20260729-093357";"21011773,18";"0,00";"0";"1524";"21011773,18";"-1524";"-21011773,14";"KO"
"CYC";"CLIENTS";"04/08/2026";"HEF01_SRC_FACTURESCLIENTS_040826-011102_ST_HEF01_639214026623455108_001";"432";"2389384,07";"2389384,07";"0";"0";"0";"432";"2389384,07";"2389384,07";"";"2389384,07";"2389384,07";"2389384,07";"0";"0";"432";"2389384,07";"KO"
"CYF";"FOURNISSEURS";"04/08/2026";"HEF01_SRC_FACTURESFOURNISSEURS_040826-011133_ST_HEF01_639214026933350590_001";"20";"331179,89";"331179,89";"0";"0";"0";"20";"331179,89";"331179,89";"";"331179,89";"331179,89";"331179,89";"0";"0";"20";"331179,89";"KO"
"FAS";"CLIENTS";"04/08/2026";"FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001";"1";"5328,71";"5328,71";"0";"0";"0";"1";"5328,71";"5328,71";"";"5328,71";"5328,71";"5328,71";"0";"0";"1";"5328,71";"KO"
"FAS";"CLIENTS";"31/07/2026";"FAC02_SRC_FACTURESCLIENTS_310726-004858_ST_FAC02_639210557383329919_001";"9";"11040000";"11040000";"1";"11040000";"11040000";"8";"0";"0";"";"11040000";"0";"0";"1";"11040000";"8";"0";"KO"
"FGE";"GL";"04/08/2026";"FAC02_SRC_ECRITURESGL_040826-020743";"5";"44096,52";"44096,52";"0";"0";"0";"5";"44096,52";"44096,52";"";"44096,52";"44096,52";"44096,52";"0";"0";"5";"44096,52";"KO"
"GAZ";"FOURNISSEURS";"04/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_040826-020634_ST_FAC02_639214059946664498_001";"334";"104872,19";"104872,19";"0";"0";"0";"334";"104872,19";"104872,19";"";"104872,19";"104872,19";"104636,21";"0";"0";"334";"104872,19";"KO"
"GAZ";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"468";"694600,31";"694600,31";"-468";"-694600,31";"-694600,31";"";"0";"-694600,31";"694600,31";"468";"694600,31";"-468";"-694600,31";"KO"
"GCA";"CLIENTS";"04/08/2026";"FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001";"10775";"47884707,51";"47884707,51";"0";"0";"0";"10775";"47884707,51";"47884707,51";"";"47884707,51";"47884707,51";"47884707,33";"0";"0";"10775";"47884707,51";"KO"
"GCA";"CLIENTS";"03/07/2026";"FAC02_SRC_FACTURESCLIENTS_030726-005913_ST_FAC02_639186371537075584_001";"3049";"10724557,01";"10724557,01";"3048";"10724557,01";"10724557,01";"1";"0";"0";"";"10724557,01";"0";"0";"3048";"10724557,01";"1";"0,00";"KO"
"GER";"GL";"04/08/2026";"FAC02_SRC_ECRITURESGL_040826-020743";"31";"6518,9";"6518,9";"0";"0";"0";"31";"6518,9";"6518,9";"";"6518,9";"6518,9";"6518,9";"0";"0";"31";"6518,9";"KO"
"GER";"GL";"04/07/2026";"FAC02_SRC_ECRITURESGL_040726-011149";"36";"11971,96";"11971,96";"0";"0";"0";"36";"11971,96";"11971,96";"";"11971,96";"11971,96";"0";"35";"10303,76";"1";"1668,20";"KO"
"HAC";"FOURNISSEURS";"04/08/2026";"FAC02_SRC_FACTURESFOURNISSEURS_040826-020634_ST_FAC02_639214059946664498_001";"9";"29698,37";"29698,37";"0";"0";"0";"9";"29698,37";"29698,37";"";"29698,37";"29698,37";"29698,37";"0";"0";"9";"29698,37";"KO"
"HAC";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"7";"97450,54";"97450,54";"-7";"-97450,54";"-97450,54";"";"0";"-97450,54";"97450,54";"7";"97450,54";"-7";"-97450,54";"KO"
