"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"BIO";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"22";"37694,28";"37694,28";"-22";"-37694,28";"-37694,28";"0";"-37694,28";"37694,28";"22";"37694,28";"-22";"-37694,28";"KO"
"CEC";"FOURNISSEURS";"24/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_220726-191227_ST_CEL01_639203443475500623_001";"0";"0";"0";"4";"16624,65";"16624,65";"-4";"-16624,65";"-16624,65";"1027799,76";"0,00";"1027799,76";"39";"1027799,76";"-39";"-1027799,76";"KO"
"CEC";"FOURNISSEURS";"23/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_220726-191227_ST_CEL01_639203443475500623_001";"39";"1027799,76";"1027799,76";"35";"1011175,11";"1011175,11";"4";"16624,65";"16624,65";"1027799,76";"0,00";"1027799,76";"39";"1027799,76";"0";"0,00";"OK"
"CYC";"CLIENTS";"25/07/2026";"HEF01_SRC_FACTURESCLIENTS_250726-010956_ST_HEF01_639205385968799311_001";"489";"10058961,58";"10058961,58";"0";"0";"0";"489";"10058961,58";"10058961,58";"10058961,58";"10058961,58";"0";"0";"0";"489";"10058961,58";"KO"
"CYF";"FOURNISSEURS";"25/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_250726-011012_ST_HEF01_639205386128831131_001";"42";"3385237,08";"3385237,08";"0";"0";"0";"42";"3385237,08";"3385237,08";"3385237,08";"3385237,08";"0";"0";"0";"42";"3385237,08";"KO"
"FAS";"CLIENTS";"25/07/2026";"FAC02_SRC_FACTURESCLIENTS_250726-010912_ST_FAC02_639205385526489354_001";"1";"846";"846";"0";"0";"0";"1";"846";"846";"846";"846";"0";"0";"0";"1";"846";"KO"
"FAS";"CLIENTS";"24/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"5071";"1061202,9";"1061202,9";"1";"42000";"42000";"5070";"1019202,9";"1019202,9";"2122405,8";"1061202,9";"0";"5071";"1061202,9";"0";"0,0";"OK"
"FAS";"CLIENTS";"17/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"5071";"1061202,9";"1061202,9";"5070";"1019202,9";"1019202,9";"1";"42000";"42000";"2122405,8";"1061202,9";"0";"5071";"1061202,9";"0";"0,0";"OK"
"FGE";"GL";"25/07/2026";"FAC02_SRC_ECRITURESGL_250726-011830";"5";"5745,29";"5745,29";"0";"0";"0";"5";"5745,29";"5745,29";"5745,29";"5745,29";"0";"0";"0";"5";"5745,29";"KO"
"GAZ";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"468";"694600,31";"694600,31";"-468";"-694600,31";"-694600,31";"0";"-694600,31";"694600,31";"468";"694600,31";"-468";"-694600,31";"KO"
"GCA";"CLIENTS";"25/07/2026";"FAC02_SRC_FACTURESCLIENTS_250726-010912_ST_FAC02_639205385526489354_001";"683";"2328915,14";"2328915,14";"0";"0";"0";"683";"2328915,14";"2328915,14";"2328915,14";"2328915,14";"0";"0";"0";"683";"2328915,14";"KO"
"GCA";"CLIENTS";"17/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"2502";"11580650,99";"11580650,99";"0";"0";"0";"2502";"11580650,99";"11580650,99";"11580650,99";"11580650,99";"0";"2502";"11580650,99";"0";"0,00";"OK"
"GCA";"CLIENTS";"03/07/2026";"FAC02_SRC_FACTURESCLIENTS_030726-005913_ST_FAC02_639186371537075584_001";"3049";"10724557,01";"10724557,01";"3048";"10724557,01";"10724557,01";"1";"0";"0";"10724557,01";"0";"0";"3048";"10724557,01";"1";"0,00";"KO"
"GER";"GL";"25/07/2026";"FAC02_SRC_ECRITURESGL_250726-011830";"14";"2843,59";"2843,59";"0";"0";"0";"14";"2843,59";"2843,59";"2843,59";"2843,59";"0";"0";"0";"14";"2843,59";"KO"
"GER";"GL";"04/07/2026";"FAC02_SRC_ECRITURESGL_040726-011149";"36";"11971,96";"11971,96";"0";"0";"0";"36";"11971,96";"11971,96";"11971,96";"11971,96";"0";"35";"10303,76";"1";"1668,20";"KO"
"HAC";"FOURNISSEURS";"23/07/2026";"FAC02_SRC_FACTURESFOURNISSEURS_230726-011334_ST_FAC02_639203660148625572_001";"0";"0";"0";"7";"97450,54";"97450,54";"-7";"-97450,54";"-97450,54";"0";"-97450,54";"97450,54";"7";"97450,54";"-7";"-97450,54";"KO"
"HAF";"FOURNISSEURS";"24/07/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260724_205041";"6";"90772,96";"90772,96";"0";"0";"0";"6";"90772,96";"90772,96";"90772,96";"90772,96";"0";"0";"0";"6";"90772,96";"KO"
"HAF";"FOURNISSEURS";"24/07/2026";"PRN01_SRC_FACTURESFOURNISSEURS_20260724_205905";"64";"178519,37";"178519,37";"0";"0";"0";"64";"178519,37";"178519,37";"178519,37";"178519,37";"0";"0";"0";"64";"178519,37";"KO"
"IGP";"CLIENTS";"25/07/2026";"FAC02_SRC_FACTURESCLIENTS_250726-010912_ST_FAC02_639205385526489354_001";"432";"2554060,42";"2554060,42";"0";"0";"0";"432";"2554060,42";"2554060,42";"2554060,42";"2554060,42";"0";"0";"0";"432";"2554060,42";"KO"
"IGP";"CLIENTS";"17/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"86";"2119256,02";"2119256,02";"0";"0";"0";"86";"2119256,02";"2119256,02";"2119256,02";"2119256,02";"0";"86";"2119256,02";"0";"0,00";"OK"
"IGP";"CLIENTS";"29/06/2026";"FAC02_SRC_FACTURESCLIENTS_270626-005428_ST_FAC02_639181184681528721_001";"27";"7116055,65";"7116055,65";"27";"7433702,69";"7433702,69";"0";"-317647,04";"-317647,04";"7116055,65";"-317647,04";"0";"27";"7116055,65";"0";"0,00";"OK"
