"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Commentaire";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"CEC";"FOURNISSEURS";"10/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001";"0";"0";"0";"2";"70026,02";"70026,02";"-2";"-70026,02";"-70026,02";"";"0";"-70026,02";"70026,02";"2";"70026,02";"-2";"-70026,02";"KO"
"CEC";"FOURNISSEURS";"06/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_060826-200919_ST_CEL01_639216437596825192_001";"25";"532195,66";"532195,66";"0";"0";"0";"25";"532195,66";"532195,66";"";"532195,66";"532195,66";"532195,66";"25";"532195,66";"0";"0,00";"OK"
"CEE";"FOURNISSEURS";"10/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001";"0";"0";"0";"61";"214032,42";"214032,42";"-61";"-214032,42";"-214032,42";"";"0";"-214032,42";"214032,42";"61";"214032,42";"-61";"-214032,42";"KO"
"CEE";"FOURNISSEURS";"06/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_060826-200919_ST_CEL01_639216437596825192_001";"188";"1052863,12";"1052863,12";"0";"0";"0";"188";"1052863,12";"1052863,12";"";"1052863,12";"1052863,12";"1050194,23";"188";"1052863,12";"0";"0,00";"OK"
"CEG";"FOURNISSEURS";"10/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_070826-200415_ST_CEL01_639217298557851444_001";"0";"0";"0";"32";"66394,6";"66394,6";"-32";"-66394,6";"-66394,6";"";"0";"-66394,6";"66394,6";"32";"66394,6";"-32";"-66394,6";"KO"
"CEG";"FOURNISSEURS";"06/08/2026";"CEL01_SRC_FACTURESFOURNISSEURS_060826-200919_ST_CEL01_639216437596825192_001";"79";"1170753,82";"1170753,82";"0";"0";"0";"79";"1170753,82";"1170753,82";"";"1170753,82";"1170753,82";"1166517,84";"79";"1170753,82";"0";"0,00";"OK"
"CEL";"GL";"05/08/2026";"CEL01_PIVOT_GL_ECRITURESGL_20260729-170423";"-1";"-3132,81";"-3132,81";"0";"0";"0";"-1";"-3132,81";"-3132,81";"";"-3132,81";"-3132,81";"0";"0";"0";"-1";"-3132,81";"KO"
"CEL";"GL";"29/07/2026";"CEL01_SRC_ECRITURESGL_290726-170113";"3476";"131867367,81";"131867367,81";"3475";"131864235";"131864235";"1";"3132,81";"3132,81";"1 pièce dans la GDR - 02907000803";"131867367,81";"3132,81";"0";"3482";"131896374,11";"-6";"-29006,30";"KO"
"CYC";"CLIENTS";"11/08/2026";"HEF01_SRC_FACTURESCLIENTS_110826-010955_ST_HEF01_639220073957830025_001";"289";"882044,19";"882044,19";"0";"0";"0";"289";"882044,19";"882044,19";"";"882044,19";"882044,19";"0";"0";"0";"289";"882044,19";"KO"
"CYC";"CLIENTS";"07/08/2026";"HEF01_SRC_FACTURESCLIENTS_070826-011057_ST_HEF01_639216618570470716_001";"394";"3067497,68";"3067497,68";"0";"0";"0";"394";"3067497,68";"3067497,68";"";"3067497,68";"3067497,68";"9223,28";"392";"3058274,4";"2";"9223,28";"KO"
