guid;categorie;fichier;statut;detail
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DCWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DEWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DLSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DMSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DNAEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DOSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DRWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0001DSWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691039183.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0245DLSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691059184.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0348DCWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691069185.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0414DRWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691089186.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0441DMSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691099187.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0514DNAEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691109188.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0658DOSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691119189.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30003-0930DEWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691129190.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30004-0119DOSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691149191.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30004-0149DSWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691159192.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30004-0373DSWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691169193.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30004-0502DMSEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691179194.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30004-0630DCWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691189195.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_cible;DK_FIN01_30004-0800DEWEMP-20260922-49099407_20260922-021103.txt;OK;
0c1429e7515d4eaf9ec5ca663b966f71;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900361691759196.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_cible;DK_FIN01_30003-0001DCWEXP-20260922-49096267_20260922-011542.txt;OK;
422e22ba8ad641eb8f761635ded5c171;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17900328406049274.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
