guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01_entete;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DCWEMP-20260922-49099407_20260922-021103.txt;;60;60;;;1224396;1224396;1224396;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DEWEMP-20260922-49099407_20260922-021103.txt;;104;104;;;1936748;1936748;1936748;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DLSEMP-20260922-49099407_20260922-021103.txt;;74;74;;;1878678;1878678;1878678;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DMSEMP-20260922-49099407_20260922-021103.txt;;221;221;;;3394703;3394703;3394703;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DNAEMP-20260922-49099407_20260922-021103.txt;;95;95;;;2479272;2479272;2479272;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DOSEMP-20260922-49099407_20260922-021103.txt;;38;38;;;2494368;2494368;2494368;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DRWEMP-20260922-49099407_20260922-021103.txt;;102;102;;;1099861;1099861;1099861;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0001DSWEMP-20260922-49099407_20260922-021103.txt;;121;121;;;2011239;2011239;2011239;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0245DLSEMP-20260922-49099407_20260922-021103.txt;;5;5;;;140498;140498;140498;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0348DCWEMP-20260922-49099407_20260922-021103.txt;;5;5;;;139822;139822;139822;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0414DRWEMP-20260922-49099407_20260922-021103.txt;;3;3;;;33162;33162;33162;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0441DMSEMP-20260922-49099407_20260922-021103.txt;;37;37;;;525295;525295;525295;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0514DNAEMP-20260922-49099407_20260922-021103.txt;;4;4;;;54200;54200;54200;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0658DOSEMP-20260922-49099407_20260922-021103.txt;;2;2;;;7227;7227;7227;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30003-0930DEWEMP-20260922-49099407_20260922-021103.txt;;1;1;;;120200;120200;120200;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30004-0119DOSEMP-20260922-49099407_20260922-021103.txt;;96;96;;;2762270;2762270;2762270;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30004-0149DSWEMP-20260922-49099407_20260922-021103.txt;;1;1;;;19500;19500;19500;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30004-0373DSWEMP-20260922-49099407_20260922-021103.txt;;9;9;;;173676;173676;173676;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30004-0502DMSEMP-20260922-49099407_20260922-021103.txt;;1;1;;;2190;2190;2190;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30004-0630DCWEMP-20260922-49099407_20260922-021103.txt;;3;3;;;220818;220818;220818;1;OK;OK
0c1429e7515d4eaf9ec5ca663b966f71;DK_FIN01_30004-0800DEWEMP-20260922-49099407_20260922-021103.txt;;8;8;;;171085;171085;171085;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DCWEXP-20260922-49096267_20260922-011542.txt;;108;108;;;61252377;61252377;61252377;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DEWEXP-20260922-49096267_20260922-011542.txt;;187;187;;;110969578;110969578;110969578;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DLSEXP-20260922-49096267_20260922-011542.txt;;119;119;;;84425701;84425701;84425701;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DMSEXP-20260922-49096267_20260922-011543.txt;;234;234;;;251227153;251227153;251227153;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DNAEXP-20260922-49096267_20260922-011543.txt;;171;171;;;85761812;85761812;85761812;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DOSEXP-20260922-49096267_20260922-011543.txt;;31;31;;;19951543;19951543;19951543;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DRWEXP-20260922-49096267_20260922-011543.txt;;224;224;;;196441312;196441312;196441312;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0001DSWEXP-20260922-49096267_20260922-011543.txt;;194;194;;;137768273;137768273;137768273;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0034DLSEXP-20260922-49096267_20260922-011543.txt;;3;3;;;1247880;1247880;1247880;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0069DRWEXP-20260922-49096267_20260922-011543.txt;;1;1;;;60000;60000;60000;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0105DSWEXP-20260922-49096267_20260922-011543.txt;;3;3;;;4564445;4564445;4564445;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0130DSWEXP-20260922-49096267_20260922-011543.txt;;1;1;;;9570;9570;9570;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0139DRWEXP-20260922-49096267_20260922-011543.txt;;3;3;;;1185150;1185150;1185150;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0148DEWEXP-20260922-49096267_20260922-011542.txt;;1;1;;;122376;122376;122376;1;OK;OK
422e22ba8ad641eb8f761635ded5c171;DK_FIN01_30003-0156DSWEXP-20260922-49096267_20260922-011543.txt;;1;1;;;22560;22560;22560;1;OK;OK
