20261368;0367;10,00;1
260501608;0367;20,00;1
2026-270;0367;10,00;1
2026-271;0367;10,00;1
2026-272;0367;10,00;1
2026-273;0367;10,00;1
L126070193;0367;10,00;1
L126070194;0367;10,00;1
07//18//26;0367;10,00;1
07//28//26;0367;10,00;1
07//29//26;0367;10,00;1
07//31//26;0367;10,00;1
FAC000431;0367;10,00;1
VT2607/058;0367;10,00;1
VT2607/069;0367;10,00;1
VT2607/120;0367;10,00;1
FA2026/162;0367;10,00;1
FA2026/163;0367;10,00;1
157198;0367;10,00;1
20036548;0367;10,00;1
20036549;0367;10,00;1
20036550;0367;10,00;1
20036551;0367;10,00;1
20036552;0367;10,00;1
20036553;0367;10,00;1
20036554;0367;10,00;1
20036555;0367;10,00;1
20036556;0367;10,00;1
