NUMERO_PIECE;DATE_ARRETE_COMPTABLE;DEVISE;SOCIETE;COMPTE_LOCAL;PARTENAIRE;CENTRE_FINANCE;TACHE;MONTANT_DEBIT;MONTANT_CREDIT;LIBELLE;CODE_FOLIO;TYPE_EVENEMENT;TYPE_DEPENSE;QUANTITE;DATE_PIECE_COMPTABLE;REGION;EDF_FLUX;EDF_CLEF_REFERENCE_01;EDF_DATE_VALEUR;EDF_NUM_OPERATION;EDF_CLEF_REFERENCE_02;FLAG_TVA;EDF_DATE_FACTURE;CODE_TAXE;EDF_REFERENCE_FACTURE;EDF_MONTANT_FACTURE
0000000001;27/07/2026;EUR;0001;759990;0;B00002691H;GK0545475H;0;1189.45;GK0545475H;THO;VENTE AU T.H.O.;;13.91;27/07/2026;B00000007H;;;;;;;;;;
0000000002;27/07/2026;EUR;0001;759990;0;B00002315F;GK0220345S;0;36672.95;GK0220345S;THO;VENTE AU T.H.O.;;538.2;27/07/2026;B00000007H;;;;;;;;;;
0000000003;27/07/2026;EUR;0001;759990;0;B00003220J;GK1350731X;0;707.76;GK1350731X;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000007H;;;;;;;;;;
0000000004;27/07/2026;EUR;0119;759990;0;B00002624G;GK0463313S;0;738.00;GK0463313S;THO;VENTE AU T.H.O.;;12.0;27/07/2026;B00000001B;;;;;;;;;;
0000000005;27/07/2026;EUR;0348;759990;0;B00001590G;GK0001621S;0;530.25;GK0001621S;THO;VENTE AU T.H.O.;;7.07;27/07/2026;B00000004E;;;;;;;;;;
0000000006;27/07/2026;EUR;0001;759990;0;B00001223P;GK0001226T;0;263.00;GK0001226T;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000008J;;;;;;;;;;
0000000007;27/07/2026;EUR;0001;759990;0;B00001568G;GK0001582Y;0;90.72;GK0001582Y;THO;VENTE AU T.H.O.;;1.44;27/07/2026;B00000004E;;;;;;;;;;
0000000008;27/07/2026;EUR;0001;759990;0;B00001806C;GK0010187B;0;83.82;GK0010187B;THO;VENTE AU T.H.O.;;1.27;27/07/2026;B00000006G;;;;;;;;;;
0000000009;27/07/2026;EUR;0001;759990;0;B00001503H;GK0009769B;0;269.20;GK0009769B;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000003D;;;;;;;;;;
0000000010;27/07/2026;EUR;0001;759990;0;B00001530N;GK0009550C;0;337.85;GK0009550C;THO;VENTE AU T.H.O.;;5.02;27/07/2026;B00000003D;;;;;;;;;;
0000000011;27/07/2026;EUR;0373;759990;0;B00001491V;GK0008832L;0;696.08;GK0008832L;THO;VENTE AU T.H.O.;;14.0;27/07/2026;B00000003D;;;;;;;;;;
0000000012;27/07/2026;EUR;0001;759990;0;B00001055Z;GK0001197K;0;251.90;GK0001197K;THO;VENTE AU T.H.O.;;4.02;27/07/2026;B00000008J;;;;;;;;;;
0000000013;27/07/2026;EUR;0001;759990;0;B00002366N;GK0232643S;0;156.00;GK0232643S;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000005F;;;;;;;;;;
0000000014;27/07/2026;EUR;0001;759990;0;B00001355P;GK0001492W;0;439.37;GK0001492W;THO;VENTE AU T.H.O.;;5.87;27/07/2026;B00000007H;;;;;;;;;;
0000000015;27/07/2026;EUR;0001;759990;0;B00001574N;GK0001592J;0;245.25;GK0001592J;THO;VENTE AU T.H.O.;;3.27;27/07/2026;B00000004E;;;;;;;;;;
0000000016;27/07/2026;EUR;0001;759990;0;B00001370G;GK0001508N;0;866.17;GK0001508N;THO;VENTE AU T.H.O.;;12.02;27/07/2026;B00000007H;;;;;;;;;;
0000000017;27/07/2026;EUR;0119;759990;0;B00002524T;GK0364509P;0;711.20;GK0364509P;THO;VENTE AU T.H.O.;;14.0;27/07/2026;B00000001B;;;;;;;;;;
0000000018;27/07/2026;EUR;0470;759990;0;B00002947Z;GK0958636J;0;384.00;GK0958636J;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000005F;;;;;;;;;;
0000000019;27/07/2026;EUR;0001;759990;0;B00001566E;GK0001580W;0;86.43;GK0001580W;THO;VENTE AU T.H.O.;;1.29;27/07/2026;B00000004E;;;;;;;;;;
0000000020;27/07/2026;EUR;0001;759990;0;B00001225S;GK0001230Y;0;64.06;GK0001230Y;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000008J;;;;;;;;;;
0000000021;27/07/2026;EUR;0119;759990;0;B00002523S;GK0364521D;0;1219.20;GK0364521D;THO;VENTE AU T.H.O.;;24.0;27/07/2026;B00000001B;;;;;;;;;;
0000000022;27/07/2026;EUR;0001;759990;0;B00001583Z;GK0001598R;0;243.39;GK0001598R;THO;VENTE AU T.H.O.;;3.99;27/07/2026;B00000004E;;;;;;;;;;
0000000023;27/07/2026;EUR;0001;759990;0;B00001530N;GK0009550C;0;538.40;GK0009550C;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000003D;;;;;;;;;;
0000000024;27/07/2026;EUR;0001;759990;0;B00001494Y;GK0009555H;0;2935.00;GK0009555H;THO;VENTE AU T.H.O.;;50.0;27/07/2026;B00000003D;;;;;;;;;;
0000000025;27/07/2026;EUR;0001;759990;0;B00001089M;GK0001202R;0;187.98;GK0001202R;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000008J;;;;;;;;;;
0000000026;27/07/2026;EUR;0001;759990;0;B00002732E;GK0010181V;0;816.00;GK0010181V;THO;VENTE AU T.H.O.;;12.0;27/07/2026;B00000006G;;;;;;;;;;
0000000027;27/07/2026;EUR;0001;759990;0;B00001342A;GK0001083F;0;2871.00;GK0001083F;THO;VENTE AU T.H.O.;;50.0;27/07/2026;B00000002C;;;;;;;;;;
0000000028;27/07/2026;EUR;0001;759990;0;B00001550L;GK0009900A;0;129.22;GK0009900A;THO;VENTE AU T.H.O.;;1.92;27/07/2026;B00000003D;;;;;;;;;;
0000000029;27/07/2026;EUR;0001;759990;0;B00001239H;GK0001255B;0;115.70;GK0001255B;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000008J;;;;;;;;;;
0000000030;27/07/2026;EUR;0001;759990;0;B00003121X;GK1163955B;0;123.92;GK1163955B;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000007H;;;;;;;;;;
0000000031;27/07/2026;EUR;0119;759990;0;B00002534E;GK0364539Z;0;1496.25;GK0364539Z;THO;VENTE AU T.H.O.;;28.5;27/07/2026;B00000001B;;;;;;;;;;
0000000032;27/07/2026;EUR;0001;759990;0;B00001566E;GK0001580W;0;282.07;GK0001580W;THO;VENTE AU T.H.O.;;4.21;27/07/2026;B00000004E;;;;;;;;;;
0000000033;27/07/2026;EUR;0001;759990;0;B00003215D;GK1346822E;0;9156.43;GK1346822E;THO;VENTE AU T.H.O.;;112.75;27/07/2026;B00000007H;;;;;;;;;;
0000000034;27/07/2026;EUR;0001;759990;0;B00002861B;GK0813632G;0;197.73;GK0813632G;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000008J;;;;;;;;;;
0000000035;27/07/2026;EUR;0001;759990;0;B00002990Y;GK0992746W;0;49.68;GK0992746W;THO;VENTE AU T.H.O.;;0.72;27/07/2026;B00000005F;;;;;;;;;;
0000000036;27/07/2026;EUR;0119;759990;0;B00002536G;GK0364550L;0;479.70;GK0364550L;THO;VENTE AU T.H.O.;;9.0;27/07/2026;B00000001B;;;;;;;;;;
0000000037;27/07/2026;EUR;0001;759990;0;B00001530N;GK0009550C;0;270.55;GK0009550C;THO;VENTE AU T.H.O.;;4.02;27/07/2026;B00000003D;;;;;;;;;;
0000000038;27/07/2026;EUR;0348;759990;0;B00001633F;GK0065056C;0;12187.50;GK0065056C;THO;VENTE AU T.H.O.;;162.5;27/07/2026;B00000004E;;;;;;;;;;
0000000039;27/07/2026;EUR;0001;759990;0;B00001544E;GK0009894T;0;456.97;GK0009894T;THO;VENTE AU T.H.O.;;6.79;27/07/2026;B00000003D;;;;;;;;;;
0000000040;27/07/2026;EUR;0001;759990;0;B00002730C;GK0009970E;0;73.00;GK0009970E;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000006G;;;;;;;;;;
0000000041;27/07/2026;EUR;0001;759990;0;B00001574N;GK0001592J;0;138.00;GK0001592J;THO;VENTE AU T.H.O.;;1.84;27/07/2026;B00000004E;;;;;;;;;;
0000000042;27/07/2026;EUR;0551;759990;0;B00002846J;GK0811098C;0;136.00;GK0811098C;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000002C;;;;;;;;;;
0000000043;27/07/2026;EUR;0001;759990;0;B00001105F;GK0029069H;0;0.00;GK0029069H;THO;VENTE AU T.H.O.;;0.0;27/07/2026;B00000005F;;;;;;;;;;
0000000044;27/07/2026;EUR;0001;759990;0;B00001561Z;GK0001574N;0;420.00;GK0001574N;THO;VENTE AU T.H.O.;;6.0;27/07/2026;B00000004E;;;;;;;;;;
0000000045;27/07/2026;EUR;0001;759990;0;B00001495Z;GK0009556J;0;181.04;GK0009556J;THO;VENTE AU T.H.O.;;2.69;27/07/2026;B00000003D;;;;;;;;;;
0000000046;27/07/2026;EUR;0001;759990;0;B00001225S;GK0001230Y;0;64.06;GK0001230Y;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000008J;;;;;;;;;;
0000000047;27/07/2026;EUR;0001;759990;0;B00002746W;GK0642947X;0;133.94;GK0642947X;THO;VENTE AU T.H.O.;;1.72;27/07/2026;B00000007H;;;;;;;;;;
0000000048;27/07/2026;EUR;0001;759990;0;B00001085H;GK0029055S;0;289.44;GK0029055S;THO;VENTE AU T.H.O.;;4.02;27/07/2026;B00000005F;;;;;;;;;;
0000000049;27/07/2026;EUR;0001;759990;0;B00001530N;GK0009550C;0;104.32;GK0009550C;THO;VENTE AU T.H.O.;;1.55;27/07/2026;B00000003D;;;;;;;;;;
0000000050;27/07/2026;EUR;0551;759990;0;B00002847K;GK0811112T;0;757.50;GK0811112T;THO;VENTE AU T.H.O.;;10.0;27/07/2026;B00000002C;;;;;;;;;;
0000000051;27/07/2026;EUR;0001;759990;0;B00001483K;GK0008827F;0;2.70;GK0008827F;THO;VENTE AU T.H.O.;;0.04;27/07/2026;B00000003D;;;;;;;;;;
0000000052;27/07/2026;EUR;0001;759990;0;B00001569H;GK0001583Z;0;3049.50;GK0001583Z;THO;VENTE AU T.H.O.;;53.5;27/07/2026;B00000004E;;;;;;;;;;
0000000053;27/07/2026;EUR;0001;759990;0;B00001355P;GK0001492W;0;1547.90;GK0001492W;THO;VENTE AU T.H.O.;;20.68;27/07/2026;B00000007H;;;;;;;;;;
0000000054;27/07/2026;EUR;0001;759990;0;B00001573M;GK0001591H;0;77.52;GK0001591H;THO;VENTE AU T.H.O.;;1.02;27/07/2026;B00000004E;;;;;;;;;;
0000000055;27/07/2026;EUR;0001;759990;0;B00003073S;GK1033793P;0;2040.00;GK1033793P;THO;VENTE AU T.H.O.;;40.0;27/07/2026;B00000005F;;;;;;;;;;
0000000056;27/07/2026;EUR;0119;759990;0;B00003151F;GK0850144Y;0;17849.30;GK0850144Y;THO;VENTE AU T.H.O.;;301.0;27/07/2026;B00000001B;;;;;;;;;;
0000000057;27/07/2026;EUR;0001;759990;0;B00001544E;GK0009894T;0;292.76;GK0009894T;THO;VENTE AU T.H.O.;;4.35;27/07/2026;B00000003D;;;;;;;;;;
0000000058;27/07/2026;EUR;0001;759990;0;B00002713H;GK0578985M;0;264.00;GK0578985M;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000005F;;;;;;;;;;
0000000059;27/07/2026;EUR;0001;759990;0;B00001569H;GK0001583Z;0;4275.00;GK0001583Z;THO;VENTE AU T.H.O.;;75.0;27/07/2026;B00000004E;;;;;;;;;;
0000000060;27/07/2026;EUR;0119;759990;0;B00003163V;GK1202927M;0;374.00;GK1202927M;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000001B;;;;;;;;;;
0000000061;27/07/2026;EUR;0551;759990;0;B00002846J;GK0811098C;0;136.00;GK0811098C;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000002C;;;;;;;;;;
0000000062;27/07/2026;EUR;0348;759990;0;B00001590G;GK0001621S;0;175.50;GK0001621S;THO;VENTE AU T.H.O.;;2.34;27/07/2026;B00000004E;;;;;;;;;;
0000000063;27/07/2026;EUR;0001;759990;0;B00001310N;GK0001048R;0;155.00;GK0001048R;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000002C;;;;;;;;;;
0000000064;27/07/2026;EUR;0245;759990;0;B00002339H;GK1009295B;0;1264.00;GK1009295B;THO;VENTE AU T.H.O.;;16.0;27/07/2026;B00000006G;;;;;;;;;;
0000000065;27/07/2026;EUR;0001;759990;0;B00001380T;GK0001519B;0;132.89;GK0001519B;THO;VENTE AU T.H.O.;;1.87;27/07/2026;B00000007H;;;;;;;;;;
0000000066;27/07/2026;EUR;0001;759990;0;B00001319Z;GK0001058C;0;232.50;GK0001058C;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000002C;;;;;;;;;;
0000000067;27/07/2026;EUR;0001;759990;0;B00002324R;GK0297765V;0;3280.00;GK0297765V;THO;VENTE AU T.H.O.;;40.0;27/07/2026;B00000004E;;;;;;;;;;
0000000068;27/07/2026;EUR;0001;759990;0;B00001503H;GK0009769B;0;201.90;GK0009769B;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000003D;;;;;;;;;;
0000000069;27/07/2026;EUR;0001;759990;0;B00001574N;GK0001592J;0;225.00;GK0001592J;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000004E;;;;;;;;;;
0000000070;27/07/2026;EUR;0001;759990;0;B00001299B;GK0001021K;0;68.99;GK0001021K;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000002C;;;;;;;;;;
0000000071;27/07/2026;EUR;0001;759990;0;B00001216G;GK0001216G;0;1.32;GK0001216G;THO;VENTE AU T.H.O.;;0.02;27/07/2026;B00000008J;;;;;;;;;;
0000000072;27/07/2026;EUR;0348;759990;0;B00001590G;GK0001621S;0;345.00;GK0001621S;THO;VENTE AU T.H.O.;;4.6;27/07/2026;B00000004E;;;;;;;;;;
0000000073;27/07/2026;EUR;0119;759990;0;B00002523S;GK0364521D;0;12.70;GK0364521D;THO;VENTE AU T.H.O.;;0.25;27/07/2026;B00000001B;;;;;;;;;;
0000000074;27/07/2026;EUR;0119;759990;0;B00002793Z;GK0032532T;0;85.20;GK0032532T;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000001B;;;;;;;;;;
0000000075;27/07/2026;EUR;0001;759990;0;B00001561Z;GK0001574N;0;140.00;GK0001574N;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000004E;;;;;;;;;;
0000000076;27/07/2026;EUR;0001;759990;0;B00001342A;GK0001083F;0;1291.95;GK0001083F;THO;VENTE AU T.H.O.;;22.5;27/07/2026;B00000002C;;;;;;;;;;
0000000077;27/07/2026;EUR;0001;759990;0;B00001574N;GK0001592J;0;340.50;GK0001592J;THO;VENTE AU T.H.O.;;4.54;27/07/2026;B00000004E;;;;;;;;;;
0000000078;27/07/2026;EUR;0001;759990;0;B00003040E;GK1006769F;0;9759.96;GK1006769F;THO;VENTE AU T.H.O.;;126.0;27/07/2026;B00000007H;;;;;;;;;;
0000000079;27/07/2026;EUR;0001;759990;0;B00002244A;GK0216823P;0;7128.45;GK0216823P;THO;VENTE AU T.H.O.;;105.0;27/07/2026;B00000008J;;;;;;;;;;
0000000080;27/07/2026;EUR;0001;759990;0;B00001223P;GK0001226T;0;197.25;GK0001226T;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000008J;;;;;;;;;;
0000000081;27/07/2026;EUR;0001;759990;0;B00003226R;GK1355296J;0;680.00;GK1355296J;THO;VENTE AU T.H.O.;;10.0;27/07/2026;B00000005F;;;;;;;;;;
0000000082;27/07/2026;EUR;0001;759990;0;B00001573M;GK0001591H;0;265.24;GK0001591H;THO;VENTE AU T.H.O.;;3.49;27/07/2026;B00000004E;;;;;;;;;;
0000000083;27/07/2026;EUR;0001;759990;0;B00001309M;GK0001047P;0;155.00;GK0001047P;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000002C;;;;;;;;;;
0000000084;27/07/2026;EUR;0001;759990;0;B00001566E;GK0001580W;0;10590.02;GK0001580W;THO;VENTE AU T.H.O.;;158.06;27/07/2026;B00000004E;;;;;;;;;;
0000000085;27/07/2026;EUR;0119;759990;0;B00002646G;GK0463607B;0;3312.50;GK0463607B;THO;VENTE AU T.H.O.;;66.25;27/07/2026;B00000001B;;;;;;;;;;
0000000086;27/07/2026;EUR;0001;759990;0;B00002990Y;GK0992746W;0;-655.50;GK0992746W;THO;VENTE AU T.H.O.;;-9.5;27/07/2026;B00000005F;;;;;;;;;;
0000000087;27/07/2026;EUR;0001;759990;0;B00001226T;GK0001232A;0;64.06;GK0001232A;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000008J;;;;;;;;;;
0000000088;27/07/2026;EUR;0001;759990;0;B00001763D;GK0010136T;0;291.10;GK0010136T;THO;VENTE AU T.H.O.;;4.1;27/07/2026;B00000006G;;;;;;;;;;
0000000089;27/07/2026;EUR;0001;759990;0;B00001224R;GK0001228W;0;256.24;GK0001228W;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000008J;;;;;;;;;;
0000000090;27/07/2026;EUR;0001;759990;0;B00001803Z;GK0010183X;0;33.50;GK0010183X;THO;VENTE AU T.H.O.;;0.5;27/07/2026;B00000006G;;;;;;;;;;
0000000091;27/07/2026;EUR;0001;759990;0;B00001750N;GK0010067P;0;518.00;GK0010067P;THO;VENTE AU T.H.O.;;7.0;27/07/2026;B00000006G;;;;;;;;;;
0000000092;27/07/2026;EUR;0001;759990;0;B00001755V;GK0010127H;0;441.62;GK0010127H;THO;VENTE AU T.H.O.;;6.22;27/07/2026;B00000006G;;;;;;;;;;
0000000093;27/07/2026;EUR;0001;759990;0;B00002715K;GK0585659X;0;286.30;GK0585659X;THO;VENTE AU T.H.O.;;5.0;27/07/2026;B00000008J;;;;;;;;;;
0000000094;27/07/2026;EUR;0001;759990;0;B00001370G;GK0001508N;0;-216.18;GK0001508N;THO;VENTE AU T.H.O.;;-3.0;27/07/2026;B00000007H;;;;;;;;;;
0000000095;27/07/2026;EUR;0001;759990;0;B00002348T;GK0231888J;0;1766.52;GK0231888J;THO;VENTE AU T.H.O.;;28.0;27/07/2026;B00000003D;;;;;;;;;;
0000000096;27/07/2026;EUR;0001;759990;0;B00003306G;GK1520930E;0;15677.51;GK1520930E;THO;VENTE AU T.H.O.;;311.0;27/07/2026;B00000008J;;;;;;;;;;
0000000097;27/07/2026;EUR;0001;759990;0;B00003352J;GK0045169D;0;3550.00;GK0045169D;THO;VENTE AU T.H.O.;;50.0;27/07/2026;B00000005F;;;;;;;;;;
0000000098;27/07/2026;EUR;0001;759990;0;B00002970A;GK0965391K;0;76.00;GK0965391K;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000005F;;;;;;;;;;
0000000099;27/07/2026;EUR;0001;759990;0;B00001224R;GK0001228W;0;512.48;GK0001228W;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000008J;;;;;;;;;;
0000000100;27/07/2026;EUR;0630;759990;0;B00002234N;GK0001694A;0;594.00;GK0001694A;THO;VENTE AU T.H.O.;;9.0;27/07/2026;B00000004E;;;;;;;;;;
0000000101;27/07/2026;EUR;0001;759990;0;B00001563B;GK0001576R;0;128.00;GK0001576R;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000004E;;;;;;;;;;
0000000102;27/07/2026;EUR;0800;759990;0;B00003174G;GK1241076N;0;598.58;GK1241076N;THO;VENTE AU T.H.O.;;7.5;27/07/2026;B00000007H;;;;;;;;;;
0000000103;27/07/2026;EUR;0001;759990;0;B00001255B;GK0001279D;0;50.41;GK0001279D;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000008J;;;;;;;;;;
0000000104;27/07/2026;EUR;0001;759990;0;B00001610E;GK0001690W;0;488.25;GK0001690W;THO;VENTE AU T.H.O.;;7.75;27/07/2026;B00000004E;;;;;;;;;;
0000000105;27/07/2026;EUR;0119;759990;0;B00002799F;GK0032550N;0;119.40;GK0032550N;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000001B;;;;;;;;;;
0000000106;27/07/2026;EUR;0001;759990;0;B00001489S;GK0008839V;0;269.20;GK0008839V;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000003D;;;;;;;;;;
0000000107;27/07/2026;EUR;0001;759990;0;B00001370G;GK0001508N;0;216.18;GK0001508N;THO;VENTE AU T.H.O.;;3.0;27/07/2026;B00000007H;;;;;;;;;;
0000000108;27/07/2026;EUR;0001;759990;0;B00002715K;GK0585659X;0;400.82;GK0585659X;THO;VENTE AU T.H.O.;;7.0;27/07/2026;B00000008J;;;;;;;;;;
0000000109;27/07/2026;EUR;0001;759990;0;B00001802Y;GK0010182W;0;99.00;GK0010182W;THO;VENTE AU T.H.O.;;1.5;27/07/2026;B00000006G;;;;;;;;;;
0000000110;27/07/2026;EUR;0001;759990;0;B00001527K;GK0009546Y;0;347.95;GK0009546Y;THO;VENTE AU T.H.O.;;5.17;27/07/2026;B00000003D;;;;;;;;;;
0000000111;27/07/2026;EUR;0001;759990;0;B00002348T;GK0231888J;0;2145.06;GK0231888J;THO;VENTE AU T.H.O.;;34.0;27/07/2026;B00000003D;;;;;;;;;;
0000000112;27/07/2026;EUR;0001;759990;0;B00001061F;GK0029036W;0;316.08;GK0029036W;THO;VENTE AU T.H.O.;;4.39;27/07/2026;B00000005F;;;;;;;;;;
0000000113;27/07/2026;EUR;0001;759990;0;B00002314E;GK0220338J;0;3198.93;GK0220338J;THO;VENTE AU T.H.O.;;40.86;27/07/2026;B00000007H;;;;;;;;;;
0000000114;27/07/2026;EUR;0001;759990;0;B00001227V;GK0001234C;0;128.12;GK0001234C;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000008J;;;;;;;;;;
0000000115;27/07/2026;EUR;0001;759990;0;B00001747K;GK0010063K;0;291.56;GK0010063K;THO;VENTE AU T.H.O.;;3.94;27/07/2026;B00000006G;;;;;;;;;;
0000000116;27/07/2026;EUR;0001;759990;0;B00001584A;GK0001599S;0;71.00;GK0001599S;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000004E;;;;;;;;;;
0000000117;27/07/2026;EUR;0001;759990;0;B00002990Y;GK0992746W;0;209.76;GK0992746W;THO;VENTE AU T.H.O.;;3.04;27/07/2026;B00000005F;;;;;;;;;;
0000000118;27/07/2026;EUR;0001;759990;0;B00001396L;GK0001536W;0;369.54;GK0001536W;THO;VENTE AU T.H.O.;;6.0;27/07/2026;B00000007H;;;;;;;;;;
0000000119;27/07/2026;EUR;0001;759990;0;B00001252Y;GK0001273X;0;1128.80;GK0001273X;THO;VENTE AU T.H.O.;;16.0;27/07/2026;B00000008J;;;;;;;;;;
0000000120;27/07/2026;EUR;0001;759990;0;B00001092R;GK0029058W;0;1169.22;GK0029058W;THO;VENTE AU T.H.O.;;14.99;27/07/2026;B00000005F;;;;;;;;;;
0000000121;27/07/2026;EUR;0001;759990;0;B00001575P;GK0001593K;0;545.99;GK0001593K;THO;VENTE AU T.H.O.;;7.69;27/07/2026;B00000004E;;;;;;;;;;
0000000122;27/07/2026;EUR;0119;759990;0;B00002788T;GK0032522G;0;937.20;GK0032522G;THO;VENTE AU T.H.O.;;22.0;27/07/2026;B00000001B;;;;;;;;;;
0000000123;27/07/2026;EUR;0348;759990;0;B00001637K;GK0001642R;0;3000.00;GK0001642R;THO;VENTE AU T.H.O.;;40.0;27/07/2026;B00000004E;;;;;;;;;;
0000000124;27/07/2026;EUR;0001;759990;0;B00001573M;GK0001591H;0;190.00;GK0001591H;THO;VENTE AU T.H.O.;;2.5;27/07/2026;B00000004E;;;;;;;;;;
0000000125;27/07/2026;EUR;0001;759990;0;B00001296Y;GK0001015D;0;551.92;GK0001015D;THO;VENTE AU T.H.O.;;8.0;27/07/2026;B00000002C;;;;;;;;;;
0000000126;27/07/2026;EUR;0119;759990;0;B00003107F;GK1150329S;0;1731.60;GK1150329S;THO;VENTE AU T.H.O.;;22.2;27/07/2026;B00000001B;;;;;;;;;;
0000000127;27/07/2026;EUR;0001;759990;0;B00003179M;GK0001064J;0;389.90;GK0001064J;THO;VENTE AU T.H.O.;;7.0;27/07/2026;B00000002C;;;;;;;;;;
0000000128;27/07/2026;EUR;0001;759990;0;B00001783B;GK0010161X;0;148.00;GK0010161X;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000006G;;;;;;;;;;
0000000129;27/07/2026;EUR;0001;759990;0;B00001583Z;GK0001598R;0;244.00;GK0001598R;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000004E;;;;;;;;;;
0000000130;27/07/2026;EUR;0348;759990;0;B00001633F;GK0065056C;0;3975.00;GK0065056C;THO;VENTE AU T.H.O.;;53.0;27/07/2026;B00000004E;;;;;;;;;;
0000000131;27/07/2026;EUR;0001;759990;0;B00001791K;GK0010171H;0;74.46;GK0010171H;THO;VENTE AU T.H.O.;;1.02;27/07/2026;B00000006G;;;;;;;;;;
0000000132;27/07/2026;EUR;0001;759990;0;B00003120W;GK1163953Z;0;486.39;GK1163953Z;THO;VENTE AU T.H.O.;;7.85;27/07/2026;B00000007H;;;;;;;;;;
0000000133;27/07/2026;EUR;0001;759990;0;B00001241K;GK0001257D;0;244.24;GK0001257D;THO;VENTE AU T.H.O.;;4.0;27/07/2026;B00000008J;;;;;;;;;;
0000000134;27/07/2026;EUR;0693;759990;0;B00001569H;GK0001584A;0;526.68;GK0001584A;THO;VENTE AU T.H.O.;;9.24;27/07/2026;B00000004E;;;;;;;;;;
0000000135;27/07/2026;EUR;0001;759990;0;B00001574N;GK0001592J;0;150.00;GK0001592J;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000004E;;;;;;;;;;
0000000136;27/07/2026;EUR;0001;759990;0;B00002244A;GK0216823P;0;8689.92;GK0216823P;THO;VENTE AU T.H.O.;;128.0;27/07/2026;B00000008J;;;;;;;;;;
0000000137;27/07/2026;EUR;0470;759990;0;B00002947Z;GK0958636J;0;2688.00;GK0958636J;THO;VENTE AU T.H.O.;;56.0;27/07/2026;B00000005F;;;;;;;;;;
0000000138;27/07/2026;EUR;0001;759990;0;B00001375M;GK0001514W;0;65.63;GK0001514W;THO;VENTE AU T.H.O.;;1.0;27/07/2026;B00000007H;;;;;;;;;;
0000000139;27/07/2026;EUR;0001;759990;0;B00002552A;GK0346342W;0;9216.00;GK0346342W;THO;VENTE AU T.H.O.;;128.0;27/07/2026;B00000005F;;;;;;;;;;
0000000140;27/07/2026;EUR;0470;759990;0;B00002964T;GK0911851V;0;7056.00;GK0911851V;THO;VENTE AU T.H.O.;;147.0;27/07/2026;B00000005F;;;;;;;;;;
0000000141;27/07/2026;EUR;0001;759990;0;B00001111M;GK0029074N;0;511.00;GK0029074N;THO;VENTE AU T.H.O.;;7.0;27/07/2026;B00000005F;;;;;;;;;;
0000000142;27/07/2026;EUR;0001;759990;0;B00001546G;GK0009896W;0;1075.46;GK0009896W;THO;VENTE AU T.H.O.;;15.98;27/07/2026;B00000003D;;;;;;;;;;
0000000143;27/07/2026;EUR;0001;759990;0;B00001309M;GK0001047P;0;155.00;GK0001047P;THO;VENTE AU T.H.O.;;2.0;27/07/2026;B00000002C;;;;;;;;;;
0000000144;27/07/2026;EUR;0001;759990;0;B00001495Z;GK0009556J;0;668.97;GK0009556J;THO;VENTE AU T.H.O.;;9.94;27/07/2026;B00000003D;;;;;;;;;;
