Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39364254 082026;0;STANDARD;958,38;EUR;04/08/2026;39364254;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0364556T;VFF;Facture Carglass 39364254 082026;1;STANDARD;798,65;EUR;04/08/2026;39364254;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39364254 082026;0;STANDARD;159,73;EUR;04/08/2026;39364254;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39370881 082026;0;STANDARD;194,40;EUR;05/08/2026;39370881;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0042393Z;VFF;Facture Carglass 39370881 082026;1;STANDARD;194,40;EUR;05/08/2026;39370881;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39371774 082026;0;STANDARD;321,68;EUR;05/08/2026;39371774;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0939618Y;VFF;Facture Carglass 39371774 082026;1;STANDARD;268,07;EUR;05/08/2026;39371774;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39371774 082026;0;STANDARD;53,61;EUR;05/08/2026;39371774;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39373094 082026;0;STANDARD;527,81;EUR;05/08/2026;39373094;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0813681M;VFF;Facture Carglass 39373094 082026;1;STANDARD;439,84;EUR;05/08/2026;39373094;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39373094 082026;0;STANDARD;87,97;EUR;05/08/2026;39373094;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39373232 082026;0;STANDARD;61,20;EUR;05/08/2026;39373232;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0029058W;VFF;Facture Carglass 39373232 082026;1;STANDARD;51,00;EUR;05/08/2026;39373232;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39373232 082026;0;STANDARD;10,20;EUR;05/08/2026;39373232;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39373695 082026;0;STANDARD;689,16;EUR;05/08/2026;39373695;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001027S;VFF;Facture Carglass 39373695 082026;1;STANDARD;574,30;EUR;05/08/2026;39373695;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39373695 082026;0;STANDARD;114,86;EUR;05/08/2026;39373695;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39376585 082026;0;STANDARD;1273,45;EUR;06/08/2026;39376585;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001232A;VFF;Facture Carglass 39376585 082026;1;STANDARD;1061,21;EUR;06/08/2026;39376585;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39376585 082026;0;STANDARD;212,24;EUR;06/08/2026;39376585;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39378439 082026;0;STANDARD;1042,53;EUR;06/08/2026;39378439;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001583Z;VFF;Facture Carglass 39378439 082026;1;STANDARD;868,78;EUR;06/08/2026;39378439;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39378439 082026;0;STANDARD;173,75;EUR;06/08/2026;39378439;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39379149 082026;0;STANDARD;689,16;EUR;06/08/2026;39379149;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001267P;VFF;Facture Carglass 39379149 082026;1;STANDARD;574,30;EUR;06/08/2026;39379149;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39379149 082026;0;STANDARD;114,86;EUR;06/08/2026;39379149;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39382010 082026;0;STANDARD;834,74;EUR;06/08/2026;39382010;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001509P;VFF;Facture Carglass 39382010 082026;1;STANDARD;695,62;EUR;06/08/2026;39382010;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39382010 082026;0;STANDARD;139,12;EUR;06/08/2026;39382010;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39382862 082026;0;STANDARD;778,67;EUR;06/08/2026;39382862;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001253Z;VFF;Facture Carglass 39382862 082026;1;STANDARD;648,89;EUR;06/08/2026;39382862;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39382862 082026;0;STANDARD;129,78;EUR;06/08/2026;39382862;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39383076 082026;0;STANDARD;285,11;EUR;06/08/2026;39383076;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK1532275X;VFF;Facture Carglass 39383076 082026;1;STANDARD;237,60;EUR;06/08/2026;39383076;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39383076 082026;0;STANDARD;47,51;EUR;06/08/2026;39383076;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;401100;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39383441 082026;0;STANDARD;689,16;EUR;06/08/2026;39383441;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;615510;16209-FRA92411;GK0001024N;VFF;Facture Carglass 39383441 082026;1;STANDARD;574,30;EUR;06/08/2026;39383441;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
25/08/2026;0001;445661;16209-FRA92411;GK0028795X;VFF;Facture Carglass 39383441 082026;0;STANDARD;114,86;EUR;06/08/2026;39383441;20,00;REPARATIONS ACCIDENTS;;;;;;B00000001B
