Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;445660;0688;GL1424369B;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;11,04;EUR;18/08/2026;0688K2608AXCT;20,00;;;;18/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0017803F;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;73,20;EUR;18/08/2026;0688K2608AXFA;;;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017803F;GAZ;VENTE DE GAZ;0,02200;STANDARD;0,28;EUR;18/08/2026;0688K2608AXFA;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017803F;GAZ;VENTE DE GAZ;0,02200;STANDARD;0,36;EUR;18/08/2026;0688K2608AXFA;20,00;TICGN GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017803F;GAZ;VENTE DE GAZ;0,02200;STANDARD;1,02;EUR;18/08/2026;0688K2608AXFA;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017803F;GAZ;VENTE DE GAZ;0,00001;STANDARD;15,74;EUR;18/08/2026;0688K2608AXFA;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017803F;GAZ;VENTE DE GAZ;0,00001;STANDARD;43,60;EUR;18/08/2026;0688K2608AXFA;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0017803F;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;12,2;EUR;18/08/2026;0688K2608AXFA;20,00;;;;18/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0017829K;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;84,92;EUR;18/08/2026;0688K2608AXFG;;;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017829K;GAZ;VENTE DE GAZ;0,05500;STANDARD;0,02;EUR;18/08/2026;0688K2608AXFG;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017829K;GAZ;VENTE DE GAZ;0,05500;STANDARD;0,70;EUR;18/08/2026;0688K2608AXFG;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017829K;GAZ;VENTE DE GAZ;0,05500;STANDARD;0,90;EUR;18/08/2026;0688K2608AXFG;20,00;TICGN GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017829K;GAZ;VENTE DE GAZ;0,05500;STANDARD;2,56;EUR;18/08/2026;0688K2608AXFG;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017829K;GAZ;VENTE DE GAZ;0,00001;STANDARD;18,67;EUR;18/08/2026;0688K2608AXFG;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017829K;GAZ;VENTE DE GAZ;0,00001;STANDARD;47,91;EUR;18/08/2026;0688K2608AXFG;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0017829K;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;14,16;EUR;18/08/2026;0688K2608AXFG;20,00;;;;18/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0017827H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;8,77;EUR;18/08/2026;0688K2608AXFE;;;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017827H;GAZ;VENTE DE GAZ;0,00001;STANDARD;0,05;EUR;18/08/2026;0688K2608AXFE;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017827H;GAZ;VENTE DE GAZ;0,01100;STANDARD;0,18;EUR;18/08/2026;0688K2608AXFE;20,00;TICGN GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017827H;GAZ;VENTE DE GAZ;0,01100;STANDARD;0,51;EUR;18/08/2026;0688K2608AXFE;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017827H;GAZ;VENTE DE GAZ;0,01100;STANDARD;0,52;EUR;18/08/2026;0688K2608AXFE;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017827H;GAZ;VENTE DE GAZ;0,00001;STANDARD;6,05;EUR;18/08/2026;0688K2608AXFE;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0017827H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;1,46;EUR;18/08/2026;0688K2608AXFE;20,00;;;;18/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0017826G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;21,77;EUR;18/08/2026;0688K2608AXFD;;;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017826G;GAZ;VENTE DE GAZ;0,09900;STANDARD;0,04;EUR;18/08/2026;0688K2608AXFD;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000008J
