FP09115492;0804;20,00;1
FP09115491;0804;20,00;1
310708;0804;20,00;1
51113158;0804;20,00;1
FP02051634;0804;20,00;1
51107144;0804;20,00;1
FPVR090834;0804;20,00;1
FPVR090835;0804;20,00;1
FPVR090836;0804;20,00;1
00235167;0804;20,00;1
FPRH054197;0804;20,00;1
FPRH054195;0804;20,00;1
FPRH054196;0804;20,00;1
FPRH054508;0804;20,00;1
FPRH054526;0804;20,00;1
FPRH054686;0804;20,00;1
FPRH055017;0804;20,00;1
FPRH055236;0804;20,00;1
FP0271989;0804;20,00;1
FP0272134;0804;20,00;1
FP0271687;0804;20,00;1
FP0271783;0804;20,00;1
FP0271957;0804;20,00;1
FP0271975;0804;20,00;1
310705;0804;13,00;1
310706;0804;20,00;1
310707;0804;13,00;1
310765;0804;13,00;1
310766;0804;20,00;1
FP09115283;0804;20,00;1
FP09115282;0804;20,00;1
FP09115281;0804;20,00;1
FP09115280;0804;20,00;1
FP09115284;0804;20,00;1
FP04279685;0804;20,00;1
FP07041746;0804;20,00;1
FP07041745;0804;20,00;1
FP06208108;0804;20,00;1
FP05325567;0804;20,00;1
FP05325292;0804;20,00;1
FP05325568;0804;20,00;1
FP05325569;0804;20,00;1
FP05325570;0804;20,00;1
FP05325571;0804;20,00;1
FP05325572;0804;20,00;1
FP02051633;0804;20,00;1
FP04279687;0804;20,00;1
FP04279686;0804;20,00;1
FP04279690;0804;20,00;1
FP04279689;0804;20,00;1
FP04279688;0804;20,00;1
FP04279900;0804;20,00;1
FP04279899;0804;20,00;1
FP04279898;0804;20,00;1
