Numero de fournisseur|Nom du fournisseur|Autre nom du fournisseur|ID fiscal|Num identif Intracommunautaire|Code DAS2|Code NAF|Numero de la societe mere|Occasionnel|Type|Sous-Type|CUF Fournisseur de services|CUF Fournisseur de combustibles|CUF Fournisseur vehicules|CUF Code Accord|CUF Code Surtaxe com|CUF Code partenaire|Date de désactivation
100488|SOUDURE CONSTRUCTION RESEAUX   SCR|SOUDURE CONSTRUCTION RESEAUX   SCR|815318712|FR74815318712||33.11Z||N|VENDOR||Y|N|N|Y|||
100668|HECTRON|HECTRON|338376841|FR24338376841||28.99B||N|VENDOR||N|N|N|N|||07/08/2026
100835|CCF|CCF|300573193|FR25300573193||46.51Z||N|VENDOR||Y|N|N|N|||
102012|SOCOTEC EQUIPEMENTS|SOCOTEC EQUIPEMENTS|834096695|FR12834096695||71.20B|S00071082|N|VENDOR||Y|N|N|Y|||
109770|SAS CR|CR FRANCE|812775443|FR93812775443||71.12B||N|VENDOR||Y|N|N|N|||20/08/2026
18307|DALKIA|DALKIA|456500537|FR42456500537||35.30Z||N|PARTENAIRE||Y|Y|N|N||0001|
23560|COMPUTACENTER FRANCE|COMPUTACENTER FRANCE|388734568|FR70388734568||46.51Z||N|VENDOR||Y|N|N|Y|||
25570|HERAL PUBLICITE|HERAL PUBLICITE|592037055|FR49592037055||82.30Z||N|VENDOR||Y|N|N|N|||
44147|DESSICA|DESSICA|421569344|FR25421569344||28.25Z||N|VENDOR||N|N|N|N|||
50694|PYRETEC|PYRETEC|453314569|FR33453314569||43.21A||N|VENDOR||Y|N|N|Y|||
78356|LOXAM|LOXAM|450776968|FR81450776968||77.32Z||N|VENDOR||Y|N|N|Y|||
87872|MEDIACO LANDES|MEDIACO LANDES|513731331|FR96513731331||77.32Z||N|VENDOR||Y|N|N|N|||
S00068289|SLRL SELARL DUHAUT-BRISTIEL|SLRL SELARL DUHAUT-BRISTIEL|884435439|FR48884435439||69.10Z||N|VENDOR||N|N|N|N|||
S00092819|CONCEPT 3P|CONCEPT 3P|481374916|FR12481374916||||N|VENDOR||Y|N|N|N|||20/08/2026
S00130345|ARBRES ET PAYSAGES|ARBRES ET PAYSAGES|385298286|FR93385298286||81.30Z||N|VENDOR||Y|N|N|N|||
S00130418|LCP INTERNATIONAL|LCP INTERNATIONAL|539134858|FR08539134858||46.90Z||N|VENDOR||Y|N|N|N|||
S00130420|MAINTENANCE DES EQUIPEMENTS ELECTRIQUES ET GENIE CLIMATIQUE|MAINTENANCE DES EQUIPEMENTS ELECTRIQUES ET GENIE CLIMATIQUE|489157321|FR06489157321||43.21A||N|VENDOR||Y|N|N|N|||
S00130434|COMMUNE DE VIC EN BIGORRE|COMMUNE DE VIC EN BIGORRE|216504605|FR0L216504605||84.11Z||N|VENDOR||Y|N|N|N|||
