0688;3;GN1370077F;202608;E23;60826000001;411150;0472986A;20260826;0688K2608BWFG;EUR;D;6371;+;;PS661732;SVD;;0000000;20260731;;GN1370077F;;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1370077F;202608;E23;60826000001;707000;;20260826;0688K2608BWFG;EUR;C;5309;+;;PS661732 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;GN1370077F;;;;AUAR20260827;UC VENTES GAZ;Facture;EFT;B00000001B
0688;3;GN1370077F;202608;E23;60826000001;445710;;20260826;0688K2608BWFG;EUR;C;1062;+;;PS661732 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1389227S;202608;E23;60826000002;411150;0065898H;20260826;0688K2608BWDU;EUR;D;41749;+;;PS668722;SVD;;0000000;20260731;;GN1389227S;;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1389227S;202608;E23;60826000002;707000;;20260826;0688K2608BWDU;EUR;C;34791;+;;PS668722 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;GN1389227S;;;;AUAR20260827;UC VENTES GAZ;Facture;EFT;B00000001B
0688;3;GN1389227S;202608;E23;60826000002;445710;;20260826;0688K2608BWDU;EUR;C;6958;+;;PS668722 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1389300A;202608;E23;60826000003;411150;0065898H;20260826;0688K2608BWDW;EUR;D;74286;+;;PS668761;SVD;;0000000;20260731;;GN1389300A;;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1389300A;202608;E23;60826000003;707000;;20260826;0688K2608BWDW;EUR;C;61905;+;;PS668761 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;GN1389300A;;;;AUAR20260827;UC VENTES GAZ;Facture;EFT;B00000001B
0688;3;GN1389300A;202608;E23;60826000003;445710;;20260826;0688K2608BWDW;EUR;C;12381;+;;PS668761 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1389330J;202608;E23;60826000004;411150;0065898H;20260826;0688K2608BWDX;EUR;D;10086;+;;PS668794;SVD;;0000000;20260731;;GN1389330J;;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
0688;3;GN1389330J;202608;E23;60826000004;707000;;20260826;0688K2608BWDX;EUR;C;8405;+;;PS668794 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;GN1389330J;;;;AUAR20260827;UC VENTES GAZ;Facture;EFT;B00000001B
0688;3;GN1389330J;202608;E23;60826000004;445710;;20260826;0688K2608BWDX;EUR;C;1681;+;;PS668794 500;SVD;;0000000;20260731;COL_2000DEB;;500;;20260826;;;;;;AUAR20260827;;Facture;EFT;B00000001B
