411100;0298811Y;D;115486.00;+
704501;0298811Y;C;96238.00;+
445715;0298811Y;C;19248.00;+
411100;0117200K;D;2961964.00;+
704501;0117200K;C;792857.00;+
704501;0117200K;C;1980873.00;+
445715;0117200K;C;108948.00;+
445715;0117200K;C;79286.00;+
411150;0305698J;D;798506.00;+
704501;0305698J;C;665422.00;+
445715;0305698J;C;133084.00;+
411100;0605672L;D;6426.00;+
704501;0605672L;C;5842.00;+
445715;0605672L;C;584.00;+
411100;0118167H;D;97667.00;+
704501;0118167H;C;81389.00;+
445715;0118167H;C;16278.00;+
411100;0582047B;D;19267.00;+
704501;0582047B;C;17515.00;+
445715;0582047B;C;1752.00;+
411100;0004897T;D;53130.00;+
704501;0004897T;C;48300.00;+
445715;0004897T;C;4830.00;+
411100;0438488G;D;174600.00;+
704501;0438488G;C;145500.00;+
445715;0438488G;C;29100.00;+
411100;0483853S;D;146597.00;+
704501;0483853S;C;122164.00;+
445715;0483853S;C;24433.00;+
411150;0305698J;D;216600.00;+
704501;0305698J;C;180500.00;+
445715;0305698J;C;36100.00;+
411100;0605976L;D;31680.00;+
704501;0605976L;C;28800.00;+
445715;0605976L;C;2880.00;+
411150;0433418J;D;1924346.00;+
704501;0433418J;C;2405432.00;+
704501;0433418J;C;801810.00;-
445715;0433418J;C;160362.00;-
445715;0433418J;C;481086.00;+
411100;0605998P;D;40878.00;+
704501;0605998P;C;20500.00;+
704501;0605998P;C;17500.00;+
445715;0605998P;C;1128.00;+
445715;0605998P;C;1750.00;+
411100;0590867F;D;6875.00;+
704501;0590867F;C;6250.00;+
445715;0590867F;C;625.00;+
411100;0328523S;D;87090.00;+
704501;0328523S;C;72575.00;+
445715;0328523S;C;14515.00;+
411100;0328523S;D;135751.00;+
704501;0328523S;C;113126.00;+
445715;0328523S;C;22625.00;+
411100;0431097G;D;293733.00;+
704501;0431097G;C;267030.00;+
445715;0431097G;C;26703.00;+
411100;0557604L;D;119962.00;+
704501;0557604L;C;99968.00;+
445715;0557604L;C;19994.00;+
411100;0568496Q;D;2088029.00;+
704501;0568496Q;C;1064823.00;-
704501;0568496Q;C;2963031.00;+
445715;0568496Q;C;106482.00;-
445715;0568496Q;C;296303.00;+
411100;0420251J;D;188916.00;+
704501;0420251J;C;157430.00;+
445715;0420251J;C;31486.00;+
411100;0516291E;D;8832.00;+
704501;0516291E;C;8029.00;+
445715;0516291E;C;803.00;+
411100;0605249F;D;11520.00;+
704501;0605249F;C;9600.00;+
445715;0605249F;C;1920.00;+
411100;0558349P;D;114048.00;+
704501;0558349P;C;95040.00;+
445715;0558349P;C;19008.00;+
411100;0582568J;D;6784.00;+
704501;0582568J;C;6167.00;+
445715;0582568J;C;617.00;+
411100;0605999R;D;97588.00;+
704501;0605999R;C;92500.00;+
445715;0605999R;C;5088.00;+
411100;0021102R;D;1217172.00;+
704501;0021102R;C;829887.00;-
704501;0021102R;C;1936407.00;+
445715;0021102R;C;82989.00;-
445715;0021102R;C;193641.00;+
411100;0475462G;D;297704.00;+
704501;0475462G;C;248087.00;+
445715;0475462G;C;49617.00;+
411100;0605982T;D;12379.00;+
704501;0605982T;C;11254.00;+
445715;0605982T;C;1125.00;+
411150;0325339C;D;270400.00;+
704501;0325339C;C;225333.00;+
445715;0325339C;C;45067.00;+
411100;0328523S;D;155940.00;+
704501;0328523S;C;129950.00;+
445715;0328523S;C;25990.00;+
411100;0605983V;D;33000.00;+
704501;0605983V;C;30000.00;+
445715;0605983V;C;3000.00;+
411100;0605993J;D;6270.00;+
704501;0605993J;C;5700.00;+
445715;0605993J;C;570.00;+
411100;0605996M;D;24814.00;+
704501;0605996M;C;23520.00;+
445715;0605996M;C;1294.00;+
411150;0325339C;D;249948.00;+
704501;0325339C;C;208290.00;+
445715;0325339C;C;41658.00;+
411150;0570363C;D;2889062.00;+
704501;0570363C;C;2407552.00;+
445715;0570363C;C;481510.00;+
411150;0590080Q;D;8398242.00;+
704501;0590080Q;C;6998535.00;+
445715;0590080Q;C;1399707.00;+
411100;0584382S;D;526356.00;+
704501;0584382S;C;478505.00;+
445715;0584382S;C;47851.00;+
411100;0039682N;D;1489642.00;+
704501;0039682N;C;1411983.00;+
445715;0039682N;C;77659.00;+
411100;0567562N;D;115162.00;+
704501;0567562N;C;95968.00;+
445715;0567562N;C;19194.00;+
411100;0535011J;D;362011.00;+
704501;0535011J;C;301676.00;+
445715;0535011J;C;60335.00;+
411100;0486481F;D;353491.00;+
704501;0486481F;C;294576.00;+
445715;0486481F;C;58915.00;+
411100;0475462G;D;114000.00;+
