Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014367 062026;0;STANDARD;1289,66;EUR;19/06/2026;FC26-014367;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001273X;VFF;Facture sd services FC26-014367 062026;1;STANDARD;1074,72;EUR;19/06/2026;FC26-014367;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014367 062026;0;STANDARD;214,94;EUR;19/06/2026;FC26-014367;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014358 062026;0;STANDARD;1523,65;EUR;19/06/2026;FC26-014358;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001263K;VFF;Facture sd services FC26-014358 062026;1;STANDARD;1269,71;EUR;19/06/2026;FC26-014358;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014358 062026;0;STANDARD;253,94;EUR;19/06/2026;FC26-014358;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014261 062026;0;STANDARD;4429,26;EUR;19/06/2026;FC26-014261;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK1034014R;VFF;Facture sd services FC26-014261 062026;1;STANDARD;3691,05;EUR;19/06/2026;FC26-014261;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014261 062026;0;STANDARD;738,21;EUR;19/06/2026;FC26-014261;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014159 062026;0;STANDARD;1289,66;EUR;19/06/2026;FC26-014159;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001290R;VFF;Facture sd services FC26-014159 062026;1;STANDARD;1074,72;EUR;19/06/2026;FC26-014159;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014159 062026;0;STANDARD;214,94;EUR;19/06/2026;FC26-014159;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
