guid;fichier_edf;nb_sources_regroupees;nb_ack_footer;nb_ack_detail;nb_oracle_edf;nb_somme_sources;montant_ack_footer;montant_ack_detail;montant_oracle_edf;montant_somme_sources;statut_lignes;statut_montant
20ac284a3af540339b53a17811250a67;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897882763189102.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;111098;111098;111098;111098;OK;OK
20ac284a3af540339b53a17811250a67;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897882763209103.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;4;4;4;4;8446784;8446784;8446784;8446784;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449159068.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;150;150;150;150;99210099;99210099;99210099;99210099;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449179069.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;12524;12524;12524;12524;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449189070.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;343919;343919;343919;343919;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449199071.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;1509953;1509953;1509953;1509953;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449199072.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;41400;41400;41400;41400;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449209073.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;877077;877077;877077;877077;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449219074.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;34705;34705;34705;34705;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449229075.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;649512;649512;649512;649512;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449299076.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;7;7;7;7;15031291;15031291;15031291;15031291;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449309077.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;155506;155506;155506;155506;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449309078.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;8;8;8;8;1536790;1536790;1536790;1536790;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449319079.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;16868;16868;16868;16868;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449369080.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;38762;38762;38762;38762;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449389081.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;3;3;3;3;3347969;3347969;3347969;3347969;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792449399082.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;4342827;4342827;4342827;4342827;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450189083.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;9357;9357;9357;9357;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450209084.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;10257385;10257385;10257385;10257385;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450219085.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;1734745;1734745;1734745;1734745;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450239086.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;50728;50728;50728;50728;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450249087.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;4080;4080;4080;4080;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450259088.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;645112;645112;645112;645112;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450269089.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;3870643;3870643;3870643;3870643;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450269090.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;2;3;3;3;3;530622;530622;530622;530622;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450279091.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;10;10;10;10;3369542;3369542;3369542;3369542;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450289092.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;18612;18612;18612;18612;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450299093.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;27679;27679;27679;27679;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450299094.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;3136006;3136006;3136006;3136006;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450309095.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;427200;427200;427200;427200;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450319096.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;22668000;22668000;22668000;22668000;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450319097.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;7456566;7456566;7456566;7456566;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792450329098.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;29784086;29784086;29784086;29784086;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792451089099.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;12814;12814;12814;12814;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792451099100.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;93420;93420;93420;93420;OK;OK
ad23324a0d19453a970a64c54d9a78f6;CDPG.NC4.IMPORT_ACK.DLK_VIR_17897792451109101.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;211200;211200;211200;211200;OK;OK
