guid;fichier_edf;nb_sources_regroupees;nb_ack_footer;nb_ack_detail;nb_oracle_edf;nb_somme_sources;montant_ack_footer;montant_ack_detail;montant_oracle_edf;montant_somme_sources;statut_lignes;statut_montant
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395209027.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;8;130;130;130;130;196878690;196878690;196878690;196878690;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395229028.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;44407;44407;44407;44407;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395239029.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;33422;33422;33422;33422;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395259030.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;2598000;2598000;2598000;2598000;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395829031.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;3;3;3;3;367528;367528;367528;367528;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395839032.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;88855;88855;88855;88855;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395859033.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;4;4;4;4;900860;900860;900860;900860;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395889034.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;83820;83820;83820;83820;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395899035.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;2;2;2;2;199523;199523;199523;199523;OK;OK
3693b409347c4c89967976e0924428e1;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395919036.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1;1;1;1;181800;181800;181800;181800;OK;OK
