guid;categorie;fichier;statut;detail
3693b409347c4c89967976e0924428e1;DK;DK_30003-0367DOSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0367DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0367DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395859033.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0399DNAEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0399DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0399DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395889034.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0401DRWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0401DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0401DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395899035.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0403DNAEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0403DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0403DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395919036.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0441DMSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0441DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0441DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395929037.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0461DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0461DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0461DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395939038.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0470DNAEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0470DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0470DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395949039.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0475DSWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0475DSWEXP-20260918-49069237_20260918-014541.txt;OK;
