guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DCWEXP-20260918-49069237_20260918-014541.txt;14;14;14;11119179;11119179;11119179;11119179;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DEWEXP-20260918-49069237_20260918-014541.txt;17;17;17;14135164;14135164;14135164;14135164;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DLSEXP-20260918-49069237_20260918-014541.txt;14;14;14;32911455;32911455;32911455;32911455;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DMSEXP-20260918-49069237_20260918-014541.txt;22;22;22;84774432;84774432;84774432;84774432;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DNAEXP-20260918-49069237_20260918-014541.txt;17;17;17;4392344;4392344;4392344;4392344;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DOSEXP-20260918-49069237_20260918-014541.txt;4;4;4;9911637;9911637;9911637;9911637;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DRWEXP-20260918-49069237_20260918-014541.txt;22;22;22;10031146;10031146;10031146;10031146;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0001DSWEXP-20260918-49069237_20260918-014541.txt;20;20;20;29603333;29603333;29603333;29603333;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0034DLSEXP-20260918-49069237_20260918-014541.txt;1;1;1;44407;44407;44407;44407;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0105DSWEXP-20260918-49069237_20260918-014541.txt;1;1;1;33422;33422;33422;33422;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0148DOSEXP-20260918-49069237_20260918-014541.txt;1;1;1;2598000;2598000;2598000;2598000;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0245DLSEXP-20260918-49069237_20260918-014541.txt;3;3;3;367528;367528;367528;367528;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0348DCWEXP-20260918-49069237_20260918-014541.txt;1;1;1;88855;88855;88855;88855;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0367DOSEXP-20260918-49069237_20260918-014541.txt;4;4;4;900860;900860;900860;900860;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0399DNAEXP-20260918-49069237_20260918-014541.txt;1;1;1;83820;83820;83820;83820;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0401DRWEXP-20260918-49069237_20260918-014541.txt;2;2;2;199523;199523;199523;199523;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0403DNAEXP-20260918-49069237_20260918-014541.txt;1;1;1;181800;181800;181800;181800;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0441DMSEXP-20260918-49069237_20260918-014541.txt;2;2;2;439200;439200;439200;439200;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0461DEWEXP-20260918-49069237_20260918-014541.txt;1;1;1;31393;31393;31393;31393;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0470DNAEXP-20260918-49069237_20260918-014541.txt;2;2;2;3199700;3199700;3199700;3199700;1;OK;OK
