GAZ;EUR;GAZ;JE.FR.APXIISIM.TAX_RULE;AMONTS;EMU FIXED;1;EUR
BIO;EUR;BIO;JE.FR.APXIISIM.TAX_RULE;AMONTS;EMU FIXED;1;EUR
ING;EUR;ING;JE.FR.APXIISIM.TAX_RULE;AMONTS;EMU FIXED;1;EUR
