VHC03_SRC_FACTURESFOURNISSEURS_070826_160152.csv
N° ligne source;Erreur;Date arrêté comptable;Code société;Compte local;ID fournisseur externe; Code Tache;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de pièce comptable;Numéro de pièce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'échéance;ID scan facture;Origine scan facture;Code region
0000000002;CodeSociete:empty or null,IDFournisseurExterne:empty or null,CodeTache:empty or null;25/08/2026;;401100;;;VFF;Facture VGRF AUVERGNE 24/12/2025 122025;0;STANDARD;672.72;EUR;24/12/2025;24/12/2025;20.00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
0000000003;CodeSociete:empty or null,IDFournisseurExterne:empty or null;25/08/2026;;615510;;GK0513010R;VFF;Facture VGRF AUVERGNE 24/12/2025 122025;1;STANDARD;560.60;EUR;24/12/2025;24/12/2025;20.00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
0000000004;CodeSociete:empty or null,IDFournisseurExterne:empty or null,CodeTache:empty or null;25/08/2026;;445661;;;VFF;Facture VGRF AUVERGNE 24/12/2025 122025;0;STANDARD;112.12;EUR;24/12/2025;24/12/2025;20.00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
