Date arrêté comptable;Code société;Compte local;ID fournisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de pièce comptable;Numéro de pièce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'échéance;ID scan facture;Origine scan facture;Code région
26/08/2026;0001;401050;65796-FRA59650;GL0053159H;CEE;FAC 538102 100005464404  ;0,00001;STANDARD;101,540000;EUR;04/08/2026;100005464404;;;WIRE;;04/08/2026;DS0001_ENDIS_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59650;GL0053159H;CEE;FAC 538102 100005464404  ;1,00000;STANDARD;84,620000;EUR;04/08/2026;100005464404;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;445660;65796-FRA59650;GL0053159H;CEE;FAC 538102 100005464404  ;0,00001;STANDARD;16,920000;EUR;04/08/2026;100005464404;20,000;;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_001.PDF;MAN;B00000003D
26/08/2026;0167;401100;109036-FRA91810;GL0212006R;CEC;FAC CHA SR2600287 SEM ;0,00001;STANDARD;139918,810000;EUR;31/07/2026;SR2600287;;;EFT;;31/07/2026;SR2600287.pdf;MAN;B00000002C
26/08/2026;0167;602218;109036-FRA91810;GL0212006R;CEC;FAC CHA SR2600287 SEM ;5657,40000;STANDARD;116599,010000;EUR;31/07/2026;SR2600287;20,000;DEBOURS CHALEUR;EFT;DED_20.00D;31/07/2026;SR2600287.pdf;MAN;B00000002C
26/08/2026;0167;445660;109036-FRA91810;GL0212006R;CEC;FAC CHA SR2600287 SEM ;0,00001;STANDARD;23319,800000;EUR;31/07/2026;SR2600287;20,000;;EFT;DED_20.00D;31/07/2026;SR2600287.pdf;MAN;B00000002C
26/08/2026;0001;401050;65796-FRA59041;GL0059670G;CEE;FAC 20041 100005464396  ;0,00001;STANDARD;91,420000;EUR;04/08/2026;100005464396;;;WIRE;;04/08/2026;DS0001_ENDIS_10082026_003.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59041;GL0059670G;CEE;FAC 20041 100005464396  ;2,00000;STANDARD;76,180000;EUR;04/08/2026;100005464396;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_003.PDF;MAN;B00000003D
26/08/2026;0001;445660;65796-FRA59041;GL0059670G;CEE;FAC 20041 100005464396  ;0,00001;STANDARD;15,240000;EUR;04/08/2026;100005464396;20,000;;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_003.PDF;MAN;B00000003D
26/08/2026;0001;401100;24763-FRA75579;GL0023043K;CEC;FAC CHA 6F00031061 6558 ;0,00001;STANDARD;7033,580000;EUR;02/07/2026;6F00031061;;;WIRE;;02/07/2026;6F00031061.pdf;MAN;B00000002C
26/08/2026;0001;602218;24763-FRA75579;GL0023043K;CEC;FAC CHA 6F00031061 6558 ;142,00000;STANDARD;6666,900000;EUR;02/07/2026;6F00031061;5,500;DEBOURS CHALEUR;WIRE;DED_05.50D;02/07/2026;6F00031061.pdf;MAN;B00000002C
26/08/2026;0001;445660;24763-FRA75579;GL0023043K;CEC;FAC CHA 6F00031061 6558 ;0,00001;STANDARD;366,680000;EUR;02/07/2026;6F00031061;5,500;;WIRE;DED_05.50D;02/07/2026;6F00031061.pdf;MAN;B00000002C
26/08/2026;0001;401100;24763-FRA75579;GL0023043K;CEC;FAC CHA 6F00027668 6558 ;0,00001;STANDARD;17534,420000;EUR;03/06/2026;6F00027668;;;WIRE;;03/06/2026;6F00027668.pdf;MAN;B00000002C
26/08/2026;0001;602218;24763-FRA75579;GL0023043K;CEC;FAC CHA 6F00027668 6558 ;354,00000;STANDARD;16620,300000;EUR;03/06/2026;6F00027668;5,500;DEBOURS CHALEUR;WIRE;DED_05.50D;03/06/2026;6F00027668.pdf;MAN;B00000002C
26/08/2026;0001;445660;24763-FRA75579;GL0023043K;CEC;FAC CHA 6F00027668 6558 ;0,00001;STANDARD;914,120000;EUR;03/06/2026;6F00027668;5,500;;WIRE;DED_05.50D;03/06/2026;6F00027668.pdf;MAN;B00000002C
26/08/2026;0001;401100;24763-FRA75579;GL0023015D;CEC;AV CHA 6A00003995 4535 ;0,00001;CREDIT;-1783,390000;EUR;27/07/2026;6A00003995;;;WIRE;;27/07/2026;6A00003995.pdf;MAN;B00000002C
26/08/2026;0001;602218;24763-FRA75579;GL0023015D;CEC;AV CHA 6A00003995 4535 ;-1,00000;CREDIT;-1690,420000;EUR;27/07/2026;6A00003995;5,500;DEBOURS CHALEUR FIXE;WIRE;DED_05.50D;27/07/2026;6A00003995.pdf;MAN;B00000002C
26/08/2026;0001;445660;24763-FRA75579;GL0023015D;CEC;AV CHA 6A00003995 4535 ;0,00001;CREDIT;-92,970000;EUR;27/07/2026;6A00003995;5,500;;WIRE;DED_05.50D;27/07/2026;6A00003995.pdf;MAN;B00000002C
26/08/2026;0001;401050;65796-FRA59650;GL0212065H;CEE;FAC 20023 100005464451  ;0,00001;STANDARD;91,420000;EUR;04/08/2026;100005464451;;;WIRE;;04/08/2026;DS0001_ENDIS_10082026_004.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59650;GL0212065H;CEE;FAC 20023 100005464451  ;2,00000;STANDARD;76,180000;EUR;04/08/2026;100005464451;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_004.PDF;MAN;B00000003D
26/08/2026;0001;445660;65796-FRA59650;GL0212065H;CEE;FAC 20023 100005464451  ;0,00001;STANDARD;15,240000;EUR;04/08/2026;100005464451;20,000;;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_004.PDF;MAN;B00000003D
26/08/2026;0001;401100;24763-FRA75579;GL0023043K;CEC;AV CHA 6A00004000 6558 ;0,00001;CREDIT;-4057,210000;EUR;27/07/2026;6A00004000;;;WIRE;;27/07/2026;6A00004000.pdf;MAN;B00000002C
26/08/2026;0001;602218;24763-FRA75579;GL0023043K;CEC;AV CHA 6A00004000 6558 ;-1,00000;CREDIT;-3845,700000;EUR;27/07/2026;6A00004000;5,500;DEBOURS CHALEUR FIXE;WIRE;DED_05.50D;27/07/2026;6A00004000.pdf;MAN;B00000002C
26/08/2026;0001;445660;24763-FRA75579;GL0023043K;CEC;AV CHA 6A00004000 6558 ;0,00001;CREDIT;-211,510000;EUR;27/07/2026;6A00004000;5,500;;WIRE;DED_05.50D;27/07/2026;6A00004000.pdf;MAN;B00000002C
26/08/2026;0001;401100;24763-FRA75579;GL0023016E;CEC;AV CHA 6A00004011 16963 ;0,00001;CREDIT;-3986,400000;EUR;27/07/2026;6A00004011;;;WIRE;;27/07/2026;6A00004011.pdf;MAN;B00000002C
26/08/2026;0001;602218;24763-FRA75579;GL0023016E;CEC;AV CHA 6A00004011 16963 ;-1,00000;CREDIT;-3778,580000;EUR;27/07/2026;6A00004011;5,500;DEBOURS CHALEUR FIXE;WIRE;DED_05.50D;27/07/2026;6A00004011.pdf;MAN;B00000002C
26/08/2026;0001;445660;24763-FRA75579;GL0023016E;CEC;AV CHA 6A00004011 16963 ;0,00001;CREDIT;-207,820000;EUR;27/07/2026;6A00004011;5,500;;WIRE;DED_05.50D;27/07/2026;6A00004011.pdf;MAN;B00000002C
26/08/2026;0001;401050;65796-FRA59650;GL0231660A;CEE;FAC 22434 100005464383  ;0,00001;STANDARD;141,040000;EUR;04/08/2026;100005464383;;;WIRE;;04/08/2026;DS0001_ENDIS_10082026_005.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59650;GL0231660A;CEE;FAC 22434 100005464383  ;1,00000;STANDARD;32,910000;EUR;04/08/2026;100005464383;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_005.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59650;GL0231660A;CEE;FAC 22434 100005464383  ;1,00000;STANDARD;84,620000;EUR;04/08/2026;100005464383;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_005.PDF;MAN;B00000003D
26/08/2026;0001;445660;65796-FRA59650;GL0231660A;CEE;FAC 22434 100005464383  ;0,00001;STANDARD;23,510000;EUR;04/08/2026;100005464383;20,000;;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_005.PDF;MAN;B00000003D
26/08/2026;0001;401050;65796-FRA59650;GL0031987Z;CEE;FAC 20033 100005464391  ;0,00001;STANDARD;192,960000;EUR;04/08/2026;100005464391;;;WIRE;;04/08/2026;DS0001_ENDIS_10082026_006.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59650;GL0031987Z;CEE;FAC 20033 100005464391  ;2,00000;STANDARD;76,180000;EUR;04/08/2026;100005464391;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_006.PDF;MAN;B00000003D
26/08/2026;0001;606103;65796-FRA59650;GL0031987Z;CEE;FAC 20033 100005464391  ;1,00000;STANDARD;84,620000;EUR;04/08/2026;100005464391;20,000;ACHAT ELECTRICITE P2;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_006.PDF;MAN;B00000003D
26/08/2026;0001;445660;65796-FRA59650;GL0031987Z;CEE;FAC 20033 100005464391  ;0,00001;STANDARD;32,160000;EUR;04/08/2026;100005464391;20,000;;WIRE;DED_20.00D;04/08/2026;DS0001_ENDIS_10082026_006.PDF;MAN;B00000003D
26/08/2026;0001;401100;91324-FRA41974;GL0668550R;CEC;FAC CHA 1107521661 compteur C23FD010251 ;0,00001;STANDARD;126,320000;EUR;16/07/2026;1107521661;;;EFT;;16/07/2026;facture_0c2ff10d73ba4b0026de980ef34087bc.pdf;MAN;B00000007H
26/08/2026;0001;606100;91324-FRA41974;GL0668550R;CEC;FAC CHA 1107521661 compteur C23FD010251 ;128,00000;STANDARD;57,730000;EUR;16/07/2026;1107521661;5,500;ACHAT EAU P1;EFT;DED_05.50D;16/07/2026;facture_0c2ff10d73ba4b0026de980ef34087bc.pdf;MAN;B00000007H
26/08/2026;0001;606100;91324-FRA41974;GL0668550R;CEC;FAC CHA 1107521661 compteur C23FD010251 ;107,00000;STANDARD;59,460000;EUR;16/07/2026;1107521661;10,000;ACHAT EAU P1;EFT;DED_10.00D;16/07/2026;facture_0c2ff10d73ba4b0026de980ef34087bc.pdf;MAN;B00000007H
26/08/2026;0001;445660;91324-FRA41974;GL0668550R;CEC;FAC CHA 1107521661 compteur C23FD010251 ;0,00001;STANDARD;3,180000;EUR;16/07/2026;1107521661;5,500;;EFT;DED_05.50D;16/07/2026;facture_0c2ff10d73ba4b0026de980ef34087bc.pdf;MAN;B00000007H
26/08/2026;0001;445660;91324-FRA41974;GL0668550R;CEC;FAC CHA 1107521661 compteur C23FD010251 ;0,00001;STANDARD;5,950000;EUR;16/07/2026;1107521661;10,000;;EFT;DED_10.00D;16/07/2026;facture_0c2ff10d73ba4b0026de980ef34087bc.pdf;MAN;B00000007H
26/08/2026;0001;401100;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;0,00001;STANDARD;1064,230000;EUR;07/08/2026;650000607940;;;WIRE;;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;1,00000;STANDARD;189,270000;EUR;07/08/2026;650000607940;20,000;DEBOURS P1 GAZ PARTIES FIXES;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;8,39600;STANDARD;296,630000;EUR;07/08/2026;650000607940;20,000;DEBOURS P1 GAZ;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;1,00000;STANDARD;38,390000;EUR;07/08/2026;650000607940;20,000;DEBOURS P1 GAZ PARTIES FIXES;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;8,39600;STANDARD;137,610000;EUR;07/08/2026;650000607940;20,000;TICGN GAZ;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;1,00000;STANDARD;54,540000;EUR;07/08/2026;650000607940;20,000;DEBOURS P1 GAZ PARTIES FIXES;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;9,39600;STANDARD;63,960000;EUR;07/08/2026;650000607940;20,000;DEBOURS P1 GAZ DISTRIBUTION;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
26/08/2026;0001;602210;70095-FRA59783-A;GL1145860N;CEG;FAC GAZGI008707 650000607940  ;8,39600;STANDARD;103,020000;EUR;07/08/2026;650000607940;20,000;DEBOURS P1 CEE TIERS;WIRE;DED_20.00D;07/08/2026;DS0001_ENGIE_10082026_001.PDF;MAN;B00000003D
