guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01_entete;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DCWEMP-20260915-49039500_20260915-021512.txt;;68;68;;;1787393;1787393;1787393;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DEWEMP-20260915-49039500_20260915-021513.txt;;94;94;;;1893149;1893149;1893149;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DLSEMP-20260915-49039500_20260915-021513.txt;;57;57;;;1578473;1578473;1578473;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DMSEMP-20260915-49039500_20260915-021513.txt;;163;163;;;2759393;2759393;2759393;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DNAEMP-20260915-49039500_20260915-021513.txt;;82;82;;;1737593;1737593;1737593;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DOSEMP-20260915-49039500_20260915-021513.txt;;41;41;;;1486907;1486907;1486907;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DRWEMP-20260915-49039500_20260915-021513.txt;;97;97;;;1376432;1376432;1376432;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0001DSWEMP-20260915-49039500_20260915-021513.txt;;100;100;;;1575696;1575696;1575696;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0245DLSEMP-20260915-49039500_20260915-021513.txt;;9;9;;;287366;287366;287366;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0348DCWEMP-20260915-49039500_20260915-021513.txt;;6;6;;;128970;128970;128970;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0414DRWEMP-20260915-49039500_20260915-021513.txt;;3;3;;;34485;34485;34485;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0441DMSEMP-20260915-49039500_20260915-021513.txt;;54;54;;;671109;671109;671109;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0452DLSEMP-20260915-49039500_20260915-021513.txt;;3;3;;;51243;51243;51243;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0476DEWEMP-20260915-49039500_20260915-021513.txt;;3;3;;;91541;91541;91541;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0514DNAEMP-20260915-49039500_20260915-021513.txt;;6;6;;;111137;111137;111137;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30003-0930DEWEMP-20260915-49039500_20260915-021513.txt;;2;2;;;130000;130000;130000;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30004-0119DOSEMP-20260915-49039500_20260915-021513.txt;;65;65;;;1906708;1906708;1906708;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30004-0149DSWEMP-20260915-49039500_20260915-021513.txt;;1;1;;;23926;23926;23926;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30004-0373DSWEMP-20260915-49039500_20260915-021513.txt;;4;4;;;43255;43255;43255;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30004-0502DMSEMP-20260915-49039500_20260915-021513.txt;;2;2;;;12110;12110;12110;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30004-0630DCWEMP-20260915-49039500_20260915-021513.txt;;1;1;;;26665;26665;26665;1;OK;OK
0ab9fb010eba4d98a464464d897f9608;DK_FIN01_30004-0800DEWEMP-20260915-49039500_20260915-021513.txt;;8;8;;;103658;103658;103658;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DCWGPX-20260915-49039706_20260915-032705.txt;;1;1;;;405653;405653;405653;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DEWGPX-20260915-49039706_20260915-032705.txt;;2;2;;;254727;254727;254727;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DMSGPX-20260915-49039706_20260915-032705.txt;;2;2;;;606799;606799;606799;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DNAGPX-20260915-49039706_20260915-032705.txt;;2;2;;;610536;610536;610536;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DOSGPX-20260915-49039706_20260915-032705.txt;;1;1;;;377001;377001;377001;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DRWGPX-20260915-49039706_20260915-032705.txt;;2;2;;;5088069;5088069;5088069;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0001DSWGPX-20260915-49039706_20260915-032705.txt;;3;3;;;2217933;2217933;2217933;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0119DOSGPX-20260915-49039706_20260915-032705.txt;;1;1;;;840000;840000;840000;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0363DMSGPX-20260915-49039706_20260915-032705.txt;;1;1;;;2367600;2367600;2367600;1;OK;OK
0b4721a332414430ad993602b4899711;DK_FIN01_30004-0512DLSGPX-20260915-49039706_20260915-032705.txt;;1;1;;;198572;198572;198572;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0378DLSGPE-20260915-49040622_20260915-050221.txt;;1;1;;;6843029;6843029;6843029;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0378DMSGPE-20260915-49040622_20260915-050221.txt;;2;2;;;14541181;14541181;14541181;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0378DNAGPE-20260915-49040622_20260915-050221.txt;;1;1;;;10154;10154;10154;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0378DRWGPE-20260915-49040622_20260915-050221.txt;;1;1;;;5288254;5288254;5288254;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0378DSWGPE-20260915-49040622_20260915-050221.txt;;3;3;;;23390178;23390178;23390178;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0380DNAGPE-20260915-49040622_20260915-050221.txt;;2;2;;;34533450;34533450;34533450;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0386DRWGPE-20260915-49040622_20260915-050221.txt;;1;1;;;6425981;6425981;6425981;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0392DNAGPE-20260915-49040622_20260915-050221.txt;;1;1;;;9285776;9285776;9285776;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0393DMSGPE-20260915-49040622_20260915-050221.txt;;3;3;;;3010959;3010959;3010959;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0394DRWGPE-20260915-49040622_20260915-050221.txt;;2;2;;;1105571;1105571;1105571;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0399DNAGPE-20260915-49040622_20260915-050221.txt;;4;4;;;12161092;12161092;12161092;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0400DMSGPE-20260915-49040622_20260915-050221.txt;;5;5;;;36553419;36553419;36553419;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0401DRWGPE-20260915-49040622_20260915-050221.txt;;3;3;;;43424489;43424489;43424489;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0403DNAGPE-20260915-49040622_20260915-050221.txt;;3;3;;;4372898;4372898;4372898;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0412DNAGPE-20260915-49040622_20260915-050221.txt;;2;2;;;6368113;6368113;6368113;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0413DCWGPE-20260915-49040622_20260915-050221.txt;;2;2;;;10308111;10308111;10308111;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0414DRWGPE-20260915-49040622_20260915-050221.txt;;1;1;;;2117942;2117942;2117942;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0416DCWGPE-20260915-49040622_20260915-050221.txt;;2;2;;;9379587;9379587;9379587;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0441DMSGPE-20260915-49040622_20260915-050221.txt;;3;3;;;26821394;26821394;26821394;1;OK;OK
41d69a9ed07d41458de43af9034cf6fc;DK_FIN01_30003-0452DLSGPE-20260915-49040622_20260915-050221.txt;;5;5;;;11279083;11279083;11279083;1;OK;OK
